,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean
Class,SARS-CoV-2_gRNA,mRNA,rRNA,synthetic RNA,viral_gRNA
package,,,,,
contrafold_2,0.376273813,-0.01756078277777778,0.7923185039999999,0.575172944875,0.5150752568000001
eternafold_B,1.6609067685,1.2731681358888889,0.845612966,1.16076605725,1.2184695298000001
nupack_99,,,,-1.2167268807500002,
rnasoft_blstar,0.5413905151666666,0.24468105333333337,0.3680544493333333,0.05920315424999999,0.3851708096
rnastructure,-1.0663167578333332,-1.1619343666666666,-0.9370110173333334,-0.7616872808749999,-1.0701263699999999
rnastructure_60C,-0.255158402,0.31699311655555557,-0.217469381,0.58320672,0.02880451250000001
vienna_2,-1.010322933,-1.0209636945555556,-0.7843642596666668,-0.77200281475,-1.0575391478999998
vienna_2_60C,-0.24677300366666666,0.3656165381111111,-0.067141262,0.372068100125,-0.019854590800000002
