Dataset,project_name,passed_CDHIT_filter,signal_to_noise,EternaScore,GC content,Length,Max. reactivity,Median reactivity,"Target structure, total loops","Target structure, # hairpins","Target structure, # Internal loops","Target structure, # Multiloops",# constructs,Sequence Entropy,Mean_of_package_correlations,Stddev_of_package_correlations,cfold_zscore
Round 00,Project :  Chesterfield's-The Mousekateer,True,1.6696666667,82.6666666667,0.2523364486,86.0,1.7172166667000002,0.3638333333,3.0,2.0,0.0,1.0,6,0.2284617704,0.5783161501,0.0384980843,0.2566730325
Round 00,Project : 3 single nucleotide bulges,True,1.5191428570999999,81.3285714286,0.4018691589,86.0,1.6047142857,0.1916857143,5.0,1.0,4.0,0.0,7,0.5155830463000001,0.6223162721000001,0.0238942777,0.3734873273
Round 00,Project : 3-4 and 1-2 loops,True,1.3940000000000001,88.28,0.4018691589,86.0,1.39792,0.15854000000000001,4.0,1.0,3.0,0.0,5,0.3220803042,0.6891227303,0.0376231953,0.3526375298
Round 00,Project : 30 Nucleotide Loop 1 - Symmetric Internal Loop,True,2.9228,88.0,0.3009345794,86.0,1.4369,0.23698000000000002,3.0,1.0,2.0,0.0,5,0.1963016415,0.5295992455,0.0215143218,0.06916505070000001
Round 00,Project : 30 Nucleotide Loop 2 - Asymmetric Internal Loop,True,3.32,85.86,0.3252336449,86.0,1.55732,0.25402,3.0,1.0,2.0,0.0,5,0.2382219714,0.5461865096,0.0656535526,0.46648923010000004
Round 00,Project : 30 Nucleotide Loop 3 - Bulge Internal Loop,True,3.0462,88.26,0.3252336449,86.0,1.54238,0.19672,3.0,1.0,2.0,0.0,5,0.23919045660000002,0.651996572,0.0659107494,0.3974773446
Round 00,Project : Adenine Reduction,True,1.88725,76.9875,0.4754672897,86.0,1.7615750000000001,0.2116625,6.375,2.0,3.375,1.0,8,0.4708552995,0.5024326429,0.028585237000000003,0.561381904
Round 00,Project : Alternative Mismatches,True,2.4089230769,86.5615384615,0.4212796549,86.0,1.4418,0.24863076920000002,5.0,1.0,4.0,0.0,13,0.5224176059,0.5233344382,0.0841289137,0.6284633284000001
Round 00,Project : Bulge Sampler: 3-nt,True,2.4634,85.86,0.4037383178,86.0,1.6789200000000002,0.39798000000000006,6.0,2.0,3.0,1.0,5,0.3315435724,0.4943158016,0.0538743782,0.6137319520000001
Round 00,Project : Bulge Sampler: 4-nt,True,2.837875,89.1625,0.4065420561,86.0,1.6047,0.374225,5.75,2.0,2.75,1.0,8,0.37397968600000003,0.5889785143,0.0585057794,0.6173720546
Round 00,Project : Bulge test,True,1.7975714286,81.5285714286,0.47663551400000004,86.0,1.3277,0.2794857143,9.5714285714,1.1428571429,8.2857142857,0.1428571429,7,0.4194642113,0.42589351810000003,0.056373297,0.6500976660000001
Round 00,Project : Crossroads test,True,2.282,79.5666666667,0.308411215,86.0,1.2015,0.2333666667,4.0,2.0,1.0,1.0,3,0.1345513435,0.6088191802,0.007380476800000001,0.7366663897
Round 00,Project : Cytosine reduction,True,2.0321666667,75.5333333333,0.2834890966,86.0,1.57365,0.3506333333,5.3333333333,2.0,2.3333333333,1.0,6,0.3094678397,0.4200458791,0.071771924,1.4037955816
Round 00,Project : Example project,True,0.985,75.9,0.2990654206,86.0,1.9533384615,0.1146653846,2.0,1.0,1.0,0.0,26,0.458814955,0.41092566880000003,0.07671038,0.5348627316
Round 00,Project : Example project 2,True,2.3277777778,76.9,0.3177570093,86.0,1.5823888889000002,0.3307222222,5.0,1.0,4.0,0.0,9,0.2851116171,0.5559889957,0.0581541443,0.7369023506
Round 00,Project : FMN-RNA aptamer complex lab ,True,1.1815,86.4875,0.34813084110000003,86.0,2.1983625,0.44520000000000004,4.0,1.0,3.0,0.0,8,0.3422872994,0.47311685680000004,0.0334860134,0.4980456647
Round 00,Project : Fisker - 2-2 loop energy challenge,True,1.5851818182000001,90.9,0.3823279524,86.0,1.9384727273000002,0.2005272727,4.0,1.0,3.0,0.0,11,0.4547921636,0.5524321239000001,0.025046028,0.3988650642
Round 00,Project : Five Branch Multiloop,True,1.8423333333,81.7833333333,0.4579439252,86.0,1.2830666667,0.2992666667,6.0,4.0,1.0,1.0,6,0.36694907860000003,0.47111958070000004,0.0276028122,0.1824017634
Round 00,Project : Fractal RNA,True,1.27175,82.675,0.3901869159,86.0,2.23865,0.42277499999999996,5.0,3.0,1.0,1.0,4,0.18594265470000002,0.5375755512,0.0625923286,0.2927043091
Round 00,Project : GU-pin shape test,True,1.826,80.4666666667,0.34267912770000003,86.0,1.5777333332999999,0.3336666667,4.0,2.0,1.0,1.0,3,0.1497763241,0.6083992207000001,0.012442510200000001,0.4293174192
Round 00,Project : Guanine Reduction,True,2.8344285714,83.0714285714,0.31108144190000003,86.0,1.3079571429,0.2860285714,5.1428571429,2.0,2.1428571429,1.0,7,0.33712554240000003,0.45921739380000004,0.036960365,0.8503355761
Round 00,Project : Hairpins: Triloop,True,2.0946666667,88.9,0.23364485980000002,86.0,1.4054166667,0.1174,2.0,1.0,1.0,0.0,6,0.173883733,0.40194002570000004,0.0031316133,1.2958636328
Round 00,Project : Half of The Branches,True,1.3281666667,72.45,0.3146417445,86.0,1.4613333333,0.2605166667,4.0,2.0,1.0,1.0,6,0.3013321787,0.4883041209,0.0171871687,0.5161370116
Round 00,Project : Hooked,True,1.184625,77.0125,0.4789719626,86.0,1.9406500000000002,0.2698625,7.0,1.0,6.0,0.0,8,0.4548718098,0.36560403750000003,0.0251930707,0.36705276800000003
Round 00,Project : Internal Loops: 5-2,True,0.9891666667000001,79.1,0.30062305300000003,86.0,1.7058166667,0.2273,3.0,1.0,2.0,0.0,6,0.2624561166,0.4972558312,0.0315533893,-0.005167004
Round 00,Project : Isolated Base Pairs: 2-2 Loops Adjacent to Multiloop,True,2.1354,88.26,0.414953271,86.0,1.58414,0.4363,6.0,2.0,3.0,1.0,5,0.2960086464,0.5203123322000001,0.0351950985,0.9992766219
Round 00,Project : Isolated Closing Pairs 1,True,1.8891428571,82.2714285714,0.4205607477,86.0,1.7069999999999999,0.4367428571,7.0,3.0,3.0,1.0,7,0.2839540621,0.484715718,0.0536697215,0.7846514357000001
Round 00,Project : Isolated Closing Pairs 2,True,1.9438333333000002,85.5333333333,0.3520249221,86.0,2.4350833333,0.5245666667000001,5.0,2.0,2.0,1.0,6,0.2627530459,0.4775515315,0.0356541996,0.5670470008
Round 00,Project : Isolated Closing Pairs 3,True,2.214,92.2333333333,0.33333333330000003,86.0,1.9481833333,0.5744166667,4.0,1.0,3.0,0.0,6,0.2884419992,0.6231799680000001,0.016737162,0.693384591
Round 00,Project : JerryP's winning design without tetraloop boost,True,1.6221666667,85.55,0.32242990650000003,86.0,2.6368166667,0.5204500000000001,4.0,1.1666666667,2.6666666667000003,0.1666666667,6,0.3521493739,0.5047597862000001,0.053365928900000005,0.8813058053
Round 00,Project : Lab design for newer players,True,2.4298,81.6,0.3906542056,86.0,1.7024,0.454,6.0,3.0,2.0,1.0,5,0.2520775422,0.4416849109,0.0590166513,0.8406066768
Round 00,Project : Large Isolated Hairpin,True,3.3715,85.1333333333,0.34423676010000004,86.0,1.3742166667,0.20040000000000002,3.8333333333,2.0,0.8333333333,1.0,6,0.2432168453,0.561194117,0.046575659900000003,-0.0137535261
Round 00,Project : Large Loop,True,3.4333333333000002,93.7666666667,0.3769470405,86.0,1.9606333333000001,0.3891333333,5.0,2.0,2.0,1.0,3,0.16964375010000002,0.6564213336,0.0483844154,0.46713207090000003
Round 00,Project : Loop Heavy,True,1.4185,83.5666666667,0.39408099690000004,86.0,1.8051333333000001,0.5163666667,6.6666666667,1.1666666667,5.3333333333,0.1666666667,6,0.3368711283,0.3569278368,0.0686350174,1.6490059976
Round 00,Project : Mat - comparison series: Hairpin loop with 9 nts- D1,True,1.7706666667,86.2333333333,0.30218068540000004,86.0,1.2291,0.2099,3.0,1.0,2.0,0.0,3,0.18016538170000002,0.6703984811,0.0056887939,0.3115509546
Round 00,Project : Multiloop Isolated Closing Pairs,True,1.9572857143000002,90.6571428571,0.4125500668,86.0,1.6017857143,0.3399714286,6.0,3.0,1.0,2.0,7,0.3427962509,0.6343812232,0.059705434,0.4208828344
Round 00,Project : Multiloop: 3 Branches Unevenly Spaced (1),True,1.345,83.3333333333,0.3489096573,86.0,2.3513,0.3251,4.0,2.0,1.0,1.0,6,0.2742411466,0.5082360532,0.0154597801,0.207748588
Round 00,Project : Multiloop: 3 Branches Unevenly Spaced (2),True,1.6542,85.6,0.3588785047,86.0,1.5604200000000001,0.28302000000000005,4.0,2.0,1.0,1.0,5,0.2702293857,0.6072524869,0.0324398944,0.4907293647
Round 00,"Project : Multiloop: 3 Branches, 12 Unpaired Bases",True,1.5743333333,91.1,0.3753894081,86.0,2.2553833333,0.39528333330000004,4.0,2.0,1.0,1.0,6,0.3108471051,0.5822653750000001,0.050411742700000005,0.5060122732
Round 00,"Project : Multiloop: 3 Branches, No Unpaired Bases",True,1.779,76.6666666667,0.3816199377,86.0,1.3621,0.2400833333,4.0,2.0,1.0,1.0,6,0.3106850621,0.4951574066,0.0533530995,0.3882426705
Round 00,Project : Multiloop: 4 Branches Separated by Single Unpaired Bases,True,1.41475,86.0,0.4228971963,86.0,1.3801,0.2614,5.0,3.0,1.0,1.0,4,0.3003829585,0.5475761564,0.0373558119,0.4170923613
Round 00,Project : Multiloop: Two Pairs of Adjacent Stacks,True,2.4967142857,90.6714285714,0.388518024,86.0,1.6639,0.4067428571,5.0,3.0,0.8571428571,1.1428571429,7,0.2911829816,0.6301937940000001,0.052706555200000005,1.1706249169
Round 00,Project : Neck Length 2 - 4 branch multiloop,True,9.0928571429,84.7571428571,0.388518024,86.0,1.4625857143,0.4101857143,6.5714285714,3.8571428571,0.7142857143,2.0,7,0.36473027410000003,0.4756582842,0.0628100929,0.8334911203
Round 00,Project : Nupack's Finger Revisited,True,1.7648000000000001,90.14,0.4429906542,86.0,1.61388,0.20352,4.0,1.0,3.0,0.0,5,0.3728360974,0.5472495162000001,0.0027019108,-0.0313162349
Round 00,Project : Plain Hooked,True,1.1655714286,83.4285714286,0.4512683578,86.0,3.6464714286,0.2784857143,6.0,1.0,5.0,0.0,7,0.3843164168,0.4634106116,0.027488406200000003,0.6826758501
Round 00,Project : Repetitive Structures,True,1.005,79.2285714286,0.4566088117,86.0,1.2277714286,0.176,6.8571428571,1.8571428571,4.1428571429,0.8571428571,7,0.4421135505,0.3225880574,0.0333759312,0.8760761381000001
Round 00,"Project : Reshiram, Zekrom, Kyurem",True,2.011,90.68,0.4336448598,86.0,1.8582200000000002,0.32628,6.0,2.0,3.0,1.0,5,0.29500751270000003,0.6300991140000001,0.12351486390000001,0.3716883903
Round 00,Project : Saccharomyces Cerevisiae Loop Structure,True,2.76975,89.675,0.3551401869,86.0,1.278325,0.2503,5.0,3.0,1.0,1.0,4,0.20348885800000002,0.5507429748,0.0351316013,0.5126309599000001
Round 00,Project : Sample puzzle for lab,True,2.2822,84.8,0.4130841121,86.0,2.04554,0.43698000000000004,6.0,3.0,2.0,1.0,5,0.2928583571,0.5036203223,0.0729847949,0.4365676157
Round 00,Project : Sharklike V-1 (SHAPE data Exp-1),True,2.05175,86.0,0.3691588785,86.0,1.9958749999999998,0.31375000000000003,4.0,2.0,1.0,1.0,4,0.3474211156,0.46864619300000004,0.07411393990000001,0.2554462017
Round 00,Project : Sharklike V-2 (SHAPE data Exp-2),True,1.28,89.325,0.3785046729,86.0,2.080875,0.429175,4.0,2.0,1.0,1.0,4,0.3392207067,0.5616109476,0.019258065600000002,0.2419581275
Round 00,Project : Test of RNAfold (1),True,4.89725,92.0,0.4112149533,86.0,1.2092,0.402225,6.0,2.0,3.0,1.0,4,0.19211580020000002,0.6505993399000001,0.0245092079,0.34852053050000004
Round 00,Project : Test of RNAfold (2),True,3.73675,92.675,0.3154205607,86.0,1.38405,0.4818,4.0,2.0,1.0,1.0,4,0.23443538260000002,0.5952928257,0.0178973007,0.4338176474
Round 00,Project : Test of RNAfold (3),True,2.86625,89.325,0.3948598131,86.0,1.526025,0.395375,6.0,2.0,3.0,1.0,4,0.2892277306,0.6406099381,0.0300422313,0.3145101014
