Dataset,project_name,passed_CDHIT_filter,signal_to_noise,EternaScore,GC content,Length,"Target structure, total loops","Target structure, # hairpins","Target structure, # Internal loops","Target structure, # Multiloops",# constructs,Sequence Entropy,EternaBench
Round 0,Project :  Chesterfield's-The Mousekateer,0.5454545454545454,1.4734545454545454,82.18181818181819,0.2684791843670348,86.0,3.0,2.0,0.0,1.0,11,0.350097250553237,Full (n=38846)
Round 0,Project : 2-2 loop,0.3333333333333333,1.0265,73.71111111111112,0.3296988577362409,86.0,4.0,1.0,3.0,0.0,18,0.4635480478984462,Full (n=38846)
Round 0,Project : 3 single nucleotide bulges,0.5833333333333334,1.2103333333333335,79.44166666666666,0.4283489096573209,86.0,5.0,1.0,4.0,0.0,12,0.7312312933846198,Full (n=38846)
Round 0,Project : 3-4 and 1-2 loops,0.7142857142857143,1.372,87.62857142857142,0.40587449933244324,86.0,4.0,1.0,3.0,0.0,7,0.46978076306560507,Full (n=38846)
Round 0,Project : 30 Nucleotide Loop 1 - Symmetric Internal Loop,0.7142857142857143,2.747,87.24285714285713,0.31508678237650195,86.0,3.0,1.0,2.0,0.0,7,0.313946788395435,Full (n=38846)
Round 0,Project : 30 Nucleotide Loop 2 - Asymmetric Internal Loop,0.8333333333333334,3.1168333333333336,86.0,0.32554517133956384,86.0,3.0,1.0,2.0,0.0,6,0.3360414755707829,Full (n=38846)
Round 0,Project : 30 Nucleotide Loop 3 - Bulge Internal Loop,1.0,3.0462000000000002,88.26,0.32523364485981304,86.0,3.0,1.0,2.0,0.0,5,0.33158838128224927,Full (n=38846)
Round 0,Project : 4-4 loop,0.15384615384615385,1.0376153846153846,75.28461538461538,0.28468727534148086,86.0,3.0,1.0,2.0,0.0,13,0.3270420940787935,Full (n=38846)
Round 0,Project : Adenine Reduction,1.0,1.8872499999999999,76.9875,0.4754672897196261,86.0,6.375,2.0,3.375,1.0,8,0.6527440466280585,Full (n=38846)
Round 0,Project : All red and blue,0.8333333333333334,0.6933333333333334,61.333333333333336,0.45794392523364486,86.0,8.166666666666666,1.1666666666666667,6.833333333333333,0.16666666666666666,6,0.5141135589759872,Full (n=38846)
Round 0,Project : Alternative Mismatches,1.0,2.408923076923077,86.56153846153848,0.4212796549245147,86.0,5.0,1.0,4.0,0.0,13,0.7242245812736382,Full (n=38846)
Round 0,Project : Bulge Sampler: 1-nt,0.6,1.7546000000000004,82.94,0.4186915887850467,86.0,6.0,2.0,3.0,1.0,5,0.29478409445245213,Full (n=38846)
Round 0,Project : Bulge Sampler: 2-nt,1.0,1.6437500000000003,88.025,0.4485981308411215,86.0,6.0,2.0,3.0,1.0,4,0.29743324069939897,Full (n=38846)
Round 0,Project : Bulge Sampler: 3-nt,0.7142857142857143,2.112285714285714,85.52857142857144,0.41655540720961276,86.0,6.0,2.0,3.0,1.0,7,0.4608136096038338,Full (n=38846)
Round 0,Project : Bulge Sampler: 4-nt,0.8,2.7892,89.05999999999999,0.416822429906542,86.0,5.8,2.0,2.8,1.0,10,0.5337067998790084,Full (n=38846)
Round 0,Project : Bulge test,1.0,1.7975714285714286,81.52857142857142,0.47663551401869153,86.0,9.571428571428571,1.1428571428571428,8.285714285714286,0.14285714285714285,7,0.5815008708237662,Full (n=38846)
Round 0,Project : Chain length and loop size series 1-10,0.625,0.92625,83.175,0.4077102803738318,86.0,6.125,3.125,2.0,1.0,8,0.37418570874222684,Full (n=38846)
Round 0,Project : Crossroads test,0.2,1.3885999999999998,79.65333333333335,0.31962616822429907,86.0,4.0,2.0,1.0,1.0,15,0.27874269176965605,Full (n=38846)
