Dataset,project_name,passed_CDHIT_filter,signal_to_noise,EternaScore,GC content,Length,"Target structure, total loops","Target structure, # hairpins","Target structure, # Internal loops","Target structure, # Multiloops",# constructs,Sequence Entropy,EternaBench
Round 0,Project :  Chesterfield's-The Mousekateer,True,1.6696666666666669,82.66666666666667,0.2523364485981308,86.0,3.0,2.0,0.0,1.0,6,0.3167152640738405,Filtered (n=12711)
Round 0,Project : 2-2 loop,True,1.1506666666666667,74.7,0.3333333333333333,86.0,4.0,1.0,3.0,0.0,6,0.418246318652332,Filtered (n=12711)
Round 0,Project : 3 single nucleotide bulges,True,1.5191428571428571,81.32857142857142,0.4018691588785046,86.0,5.0,1.0,4.0,0.0,7,0.7147498697248322,Filtered (n=12711)
Round 0,Project : 3-4 and 1-2 loops,True,1.394,88.28,0.4018691588785046,86.0,4.0,1.0,3.0,0.0,5,0.4464981094840954,Filtered (n=12711)
Round 0,Project : 30 Nucleotide Loop 1 - Symmetric Internal Loop,True,2.9227999999999996,88.0,0.3009345794392523,86.0,3.0,1.0,2.0,0.0,5,0.2721318587306669,Filtered (n=12711)
Round 0,Project : 30 Nucleotide Loop 2 - Asymmetric Internal Loop,True,3.3200000000000003,85.86,0.3252336448598131,86.0,3.0,1.0,2.0,0.0,5,0.330245775660469,Filtered (n=12711)
Round 0,Project : 30 Nucleotide Loop 3 - Bulge Internal Loop,True,3.0462000000000002,88.26,0.32523364485981304,86.0,3.0,1.0,2.0,0.0,5,0.33158838128224927,Filtered (n=12711)
Round 0,Project : 4-4 loop,True,1.237,72.0,0.27102803738317754,86.0,3.0,1.0,2.0,0.0,2,0.11660419859886928,Filtered (n=12711)
Round 0,Project : Adenine Reduction,True,1.8872499999999999,76.9875,0.4754672897196261,86.0,6.375,2.0,3.375,1.0,8,0.6527440466280585,Filtered (n=12711)
Round 0,Project : All red and blue,True,0.819,65.6,0.45607476635514016,86.0,8.0,1.0,7.0,0.0,5,0.5149497720605533,Filtered (n=12711)
Round 0,Project : Alternative Mismatches,True,2.408923076923077,86.56153846153848,0.4212796549245147,86.0,5.0,1.0,4.0,0.0,13,0.7242245812736382,Filtered (n=12711)
Round 0,Project : Bulge Sampler: 1-nt,True,2.0846666666666667,85.33333333333333,0.42990654205607476,86.0,6.0,2.0,3.0,1.0,3,0.2930334231038795,Filtered (n=12711)
Round 0,Project : Bulge Sampler: 2-nt,True,1.6437500000000003,88.025,0.4485981308411215,86.0,6.0,2.0,3.0,1.0,4,0.29743324069939897,Filtered (n=12711)
Round 0,Project : Bulge Sampler: 3-nt,True,2.4634,85.86,0.4037383177570093,86.0,6.0,2.0,3.0,1.0,5,0.459616984885917,Filtered (n=12711)
Round 0,Project : Bulge Sampler: 4-nt,True,2.837875,89.1625,0.4065420560747663,86.0,5.75,2.0,2.75,1.0,8,0.5184459299001853,Filtered (n=12711)
Round 0,Project : Bulge test,True,1.7975714285714286,81.52857142857142,0.47663551401869153,86.0,9.571428571428571,1.1428571428571428,8.285714285714286,0.14285714285714285,7,0.5815008708237662,Filtered (n=12711)
Round 0,Project : Chain length and loop size series 1-10,True,0.9318000000000002,82.4,0.4186915887850467,86.0,6.2,3.2,2.0,1.0,5,0.36425265598012907,Filtered (n=12711)
Round 0,Project : Crossroads test,True,2.282,79.56666666666666,0.308411214953271,86.0,4.0,2.0,1.0,1.0,3,0.18652776884298808,Filtered (n=12711)
Round 0,Project : Cytosine reduction,True,2.0321666666666665,75.53333333333333,0.2834890965732087,86.0,5.333333333333333,2.0,2.3333333333333335,1.0,6,0.4290135211301241,Filtered (n=12711)
Round 0,Project : Example project,True,0.9849999999999999,75.9,0.29906542056074764,86.0,2.0,1.0,1.0,0.0,26,0.6360525849333085,Filtered (n=12711)
Round 0,Project : Example project 2,True,2.3277777777777775,76.90000000000002,0.31775700934579443,86.0,5.0,1.0,4.0,0.0,9,0.3952486271237129,Filtered (n=12711)
Round 0,Project : FMN-RNA aptamer complex lab ,True,1.1815,86.48750000000001,0.3481308411214953,86.0,4.0,1.0,3.0,0.0,8,0.4745109530933594,Filtered (n=12711)
Round 0,Project : Fisker - 2-2 loop energy challenge,True,1.5851818181818182,90.89999999999999,0.38232795242141043,86.0,4.0,1.0,3.0,0.0,11,0.6304758118336837,Filtered (n=12711)
Round 0,Project : Five Branch Multiloop,True,1.8423333333333334,81.78333333333333,0.45794392523364486,86.0,6.0,4.0,1.0,1.0,6,0.5086994384240189,Filtered (n=12711)
Round 0,Project : Fractal RNA,True,1.27175,82.675,0.3901869158878505,86.0,5.0,3.0,1.0,1.0,4,0.2577712537670871,Filtered (n=12711)
Round 0,Project : GU-pin shape test,True,1.8259999999999998,80.46666666666665,0.3426791277258567,86.0,4.0,2.0,1.0,1.0,3,0.20763407352268407,Filtered (n=12711)
Round 0,Project : Guanine Reduction,True,2.8344285714285715,83.07142857142857,0.31108144192256343,86.0,5.142857142857143,2.0,2.142857142857143,1.0,7,0.46735523843895055,Filtered (n=12711)
Round 0,Project : Hairpins: Heptaloop,True,2.232,92.0,0.205607476635514,86.0,2.0,1.0,1.0,0.0,1,0.0,Filtered (n=12711)
Round 0,Project : Hairpins: Hexaloop,True,1.832,86.7,0.22897196261682243,86.0,2.0,1.0,1.0,0.0,2,0.13603823169868084,Filtered (n=12711)
Round 0,Project : Hairpins: Tetraloop,True,1.265,84.0,0.19626168224299065,86.0,2.0,1.0,1.0,0.0,2,0.11012618756559879,Filtered (n=12711)
Round 0,Project : Hairpins: Triloop,True,2.094666666666667,88.89999999999999,0.23364485981308405,86.0,2.0,1.0,1.0,0.0,6,0.24105403857117755,Filtered (n=12711)
Round 0,Project : Half of The Branches,True,1.3281666666666667,72.45,0.3146417445482866,86.0,4.0,2.0,1.0,1.0,6,0.4177351001478513,Filtered (n=12711)
Round 0,Project : Hard Lab Fragments: Kudzu Arm,True,2.4480000000000004,80.0,0.2803738317757009,86.0,5.0,1.0,4.0,0.0,2,0.16842828686503342,Filtered (n=12711)
Round 0,Project : Hard Lab Fragments: Kudzu Neck,True,1.3279999999999998,75.35,0.32710280373831774,86.0,5.0,1.0,4.0,0.0,2,0.14251624273195135,Filtered (n=12711)
Round 0,Project : Hard Lab Fragments: Making it Up As I Go Multiloop,True,1.418,78.7,0.308411214953271,86.0,4.0,2.0,1.0,1.0,1,0.0,Filtered (n=12711)
Round 0,Project : Hard Lab Fragments: Water Strider Arm,True,2.449,81.3,0.308411214953271,86.0,4.0,2.0,1.0,1.0,1,0.0,Filtered (n=12711)
Round 0,Project : Hooked,True,1.184625,77.01249999999999,0.4789719626168224,86.0,7.0,1.0,6.0,0.0,8,0.6305862249898104,Filtered (n=12711)
Round 0,Project : Internal Loops: 5-2,True,0.9891666666666664,79.10000000000001,0.30062305295950154,86.0,3.0,1.0,2.0,0.0,6,0.3638414344894876,Filtered (n=12711)
Round 0,Project : Internal Loops: 6-3,True,1.68425,75.325,0.32710280373831774,86.0,3.0,1.0,2.0,0.0,4,0.37767778046847184,Filtered (n=12711)
Round 0,Project : Isolated Base Pairs: 2-2 Loops Adjacent to Multiloop,True,2.1353999999999997,88.26,0.41495327102803736,86.0,6.0,2.0,3.0,1.0,5,0.41035511734513114,Filtered (n=12711)
Round 0,Project : Isolated Closing Pairs 1,True,1.8891428571428572,82.27142857142857,0.4205607476635514,86.0,7.0,3.0,3.0,1.0,7,0.39364391511447966,Filtered (n=12711)
Round 0,Project : Isolated Closing Pairs 2,True,1.9438333333333333,85.53333333333335,0.35202492211838005,86.0,5.0,2.0,2.0,1.0,6,0.3642530658491914,Filtered (n=12711)
Round 0,Project : Isolated Closing Pairs 3,True,2.214,92.23333333333333,0.3333333333333333,86.0,4.0,1.0,3.0,0.0,6,0.3998655170250551,Filtered (n=12711)
Round 0,Project : JerryP's winning design without tetraloop boost,True,1.6221666666666668,85.55,0.322429906542056,86.0,4.0,1.1666666666666667,2.6666666666666665,0.16666666666666666,6,0.488182691274014,Filtered (n=12711)
Round 0,Project : Lab design for newer players,True,2.4298,81.6,0.3906542056074766,86.0,6.0,3.0,2.0,1.0,5,0.3494536752549026,Filtered (n=12711)
Round 0,Project : Large Isolated Hairpin,True,3.3715000000000006,85.13333333333333,0.3442367601246106,86.0,3.8333333333333335,2.0,0.8333333333333334,1.0,6,0.33717014111481947,Filtered (n=12711)
Round 0,Project : Large Loop,True,3.4333333333333336,93.76666666666667,0.37694704049844235,86.0,5.0,2.0,2.0,1.0,3,0.23517617417839715,Filtered (n=12711)
Round 0,Project : Loop Heavy,True,1.4185,83.56666666666666,0.3940809968847352,86.0,6.666666666666667,1.1666666666666667,5.333333333333333,0.16666666666666666,6,0.46700254559061016,Filtered (n=12711)
Round 0,Project : Mat - comparison series: 3-2 - D1,True,2.2575000000000003,90.0,0.3037383177570093,86.0,3.0,1.0,2.0,0.0,2,0.17490629789830398,Filtered (n=12711)
