,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_mean
Class,SARS-CoV-2_gRNA,mRNA,rRNA,synthetic RNA,viral_gRNA
package,,,,,
contrafold_2,0.0932614370873126,0.36922175980203287,0.3221627562893421,0.22344063582296358,0.4131684748313528
eternafold_B,0.12853791280922253,0.4553270327557902,0.25359108608013115,0.31428857057983595,0.34621924894683115
nupack_99,,,,0.2386191978589235,
rnasoft_blstar,0.2525760345361012,0.33663926699510627,0.6451036205805448,0.33045238278655426,0.1706654009965568
rnastructure,0.1765758870997741,0.3354629878115098,0.281632900506256,0.3140668454352964,0.53534805716234
rnastructure_60C,0.20129672205495153,0.36524647861062964,0.6762523680800084,0.23362334103092536,0.29718277586960856
vienna_2,0.1560773175707445,0.3851328215619864,0.29976418423212564,0.11676768221931096,0.5430897810553926
vienna_2_60C,0.21527007838437284,0.2660818271191618,0.7775435077378509,0.1187079440429506,0.2746791224148399
