Class,Dataset,Title
viral_gRNA,"Watts,2009","HIV-1 (Watts, 2009)"
viral_gRNA,"Siegfried,2014","HIV-1 (Siegfried, 2014)"
viral_gRNA,"Lavender,2015","SIV (Lavender, 2015)"
viral_gRNA,"Kutchko,2018","Alphavirus (Kutchko, 2018)"
viral_gRNA,"Huber, 2019 in vitro","Zika, Dengue (Huber, 2019)"
viral_gRNA,"Dadonaite,2019","Influenza (Dadonaite, 2019)"
viral_gRNA,"Simon,2019 Invitro","Influenza (Simon, 2019)"
viral_gRNA,"Huber, 2019 in virion","Zika, Dengue in virion (Huber, 2019)"
viral_gRNA,"Watters,2018","CMV (Watters, 2018)"
viral_gRNA,"Simon,2019 Invivo","Influenza in vivo (Simon, 2019)"
SARS-CoV-2_gRNA,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro","DMS (Manf., 2020)"
SARS-CoV-2_gRNA,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro","SHAPE (Manf., 2020)"
SARS-CoV-2_gRNA,"Sun, 2021 SARS-CoV-2 in vitro","icSHAPE (Sun, 2021)"
SARS-CoV-2_gRNA,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo","SHAPE, in vivo (Manf., 2020)"
SARS-CoV-2_gRNA,"Huston, 2021 SARS-CoV-2 in vivo","DMS, in vivo (Huston, 2021)"
SARS-CoV-2_gRNA,"Sun, 2021 SARS-CoV-2 in vivo","icSHAPE, in vivo (Sun, 2021)"
SARS-CoV-2_gRNA,SARS-CoV-2 5' UTRs,5' UTRs
mRNA,"Leppek, 2021, Nluc mRNA 1M7 in vitro","Nluc, 1M7 (Leppek, 2021)"
mRNA,"Leppek, 2021, Nluc mRNA DMS in vitro","Nluc, DMS (Leppek, 2021)"
mRNA,"Mauger,2019","Luciferase (n=38) (Mauger, 2019)"
mRNA,"Sun, 2019 HEK293 chromatin in vitro","HEK293 mRNAs (n=3745), chromatin ex vivo"
mRNA,"Sun, 2019 HEK293 cytoplasm in vitro","HEK293 mRNAs (n=3094), cytoplasm ex vivo"
mRNA,"Sun, 2019 HEK293 nucleoplasm in vitro","HEK293 mRNAs (n=3218), nucleoplasm ex vivo"
mRNA,"Sun, 2019 HEK293 chromatin in vivo","HEK293 mRNAs (n=1372), chromatin in vivo"
mRNA,"Sun, 2019 HEK293 cytoplasm in vivo","HEK293 mRNAs (n=1561), cytoplasm ex vivo"
mRNA,"Sun, 2019 HEK293 nucleoplasm in vivo","HEK293 mRNAs (n=1770), nucleoplasm in vivo"
rRNA,"Deigan, 2009 ex vivo rRNA","ex vivo, deproteinized (Deigan, 2009)"
rRNA,"McGinnis, 2015, rRNA in vivo","in vivo (McGinnis, 2014)"
rRNA,"Simon,2019 Ecoli invitro","in vitro (Simon, 2019)"
rRNA,"Simon,2019 Ecoli exvivo","ex vivo (Simon, 2019)"
small RNAs,"Rice,2014 SHAPE(1M6)","SHAPE (Rice, 2014)"
small RNAs,"Rice,2014 SHAPE(1M7)","1M7 (Rice, 2014)"
small RNAs,"Rice,2014 SHAPE(NMIA)","NMIA (Rice, 2014)"
small RNAs,"Leppek,2021 In-line-seq","In-line-seq (n=3029) (Leppek, 2021)"
