contrafold_2 Sens,vienna_2 Sens,contrafold_2 PPV,vienna_2 PPV,contrafold_2 F-score,vienna_2 F-score,eternafold_A Sens,eternafold_B Sens,eternafold_C Sens,eternafold_D Sens,eternafold_E Sens,eternafold_F Sens,eternafold_G Sens,eternafold_A F-score,eternafold_B F-score,eternafold_C F-score,eternafold_D F-score,eternafold_E F-score,eternafold_F F-score,eternafold_G F-score,eternafold_A PPV,eternafold_B PPV,eternafold_C PPV,eternafold_D PPV,eternafold_E PPV,eternafold_F PPV,eternafold_G PPV,Category,Name
0.805031,0.786164,0.735632,0.718391,0.76955,0.751514,0.849057,0.849057,0.849057,0.849057,0.805031,0.584906,0.81761,0.791425,0.793596,0.797993,0.795785,0.748346,0.52022,0.75191,0.737705,0.741758,0.75,0.745856,0.695652,0.462687,0.691489,srp,srp_Leis.braz._AM494942
0.952381,0.928571,0.930233,0.847826,0.941242,0.88728,0.928571,0.928571,0.928571,0.928571,0.952381,0.547619,0.928571,0.88728,0.88728,0.88728,0.88728,0.930484,0.535028,0.88728,0.847826,0.847826,0.847826,0.847826,0.909091,0.522727,0.847826,5s,5s_Acholeplasma-laidlawii-3
0.704225,0.647887,0.595238,0.560976,0.647442,0.602867,0.690141,0.690141,0.71831,0.690141,0.676056,0.549296,0.577465,0.630751,0.630751,0.660391,0.623458,0.614275,0.496222,0.527771,0.576471,0.576471,0.607143,0.563218,0.55814,0.448276,0.482353,srp,srp_Dict.disc._AJ699381
0.558824,0.676471,0.292308,0.403509,0.404164,0.522458,0.617647,0.5,0.558824,0.529412,0.617647,0.529412,0.558824,0.418663,0.348466,0.389463,0.361303,0.468871,0.40888,0.389463,0.283784,0.242857,0.271429,0.246575,0.355932,0.315789,0.271429,tmRNA,tmRNA_Yers.pest._CP000308_1-364
0.466912,0.419118,0.388379,0.330435,0.425839,0.372144,0.294118,0.297794,0.448529,0.378676,0.319853,0.128676,0.334559,0.273307,0.278946,0.39261,0.345365,0.291272,0.113274,0.305596,0.253968,0.26129,0.343662,0.314985,0.265244,0.0997151,0.279141,srp,srp_Agro.tume._AE007869
0.290076,0.396947,0.197917,0.272251,0.239606,0.328739,0.206107,0.206107,0.274809,0.206107,0.244275,0.221374,0.221374,0.164359,0.166391,0.219146,0.163962,0.202301,0.186285,0.177834,0.131068,0.134328,0.174757,0.130435,0.167539,0.156757,0.142857,srp,srp_Alca.bork._AM286690
0.160494,0.185185,0.0970149,0.115385,0.124781,0.146177,0.160494,0.160494,0.148148,0.160494,0.160494,0.17284,0.111111,0.122959,0.121644,0.113914,0.122516,0.123407,0.127866,0.0857493,0.0942029,0.0921986,0.0875912,0.0935252,0.0948905,0.0945946,0.0661765,tmRNA,tmRNA_Meso.flor._AE017263_1-408
0.954545,0.818182,0.75,0.642857,0.846114,0.725241,0.818182,0.818182,0.954545,0.818182,0.818182,0.681818,0.818182,0.668043,0.678401,0.779383,0.668043,0.678401,0.525749,0.668043,0.545455,0.5625,0.636364,0.545455,0.5625,0.405405,0.545455,tmRNA,tmRNA_Burk.mall._CP000010_1-370
0.799544,0.710706,0.714868,0.665245,0.756021,0.6876,0.749431,0.77221,0.794989,0.776765,0.792711,0.569476,0.726651,0.703638,0.726485,0.748671,0.724948,0.742042,0.519267,0.674838,0.660643,0.683468,0.705051,0.676587,0.694611,0.473485,0.626719,RNaseP,RNaseP_R.prowazekii
0.207547,0.377358,0.13253,0.248447,0.16585,0.306192,0.216981,0.245283,0.292453,0.292453,0.273585,0.339623,0.339623,0.172354,0.196005,0.238787,0.232303,0.216033,0.276433,0.269771,0.136905,0.156627,0.194969,0.184524,0.170588,0.225,0.214286,5s,5s_Leuconostoc-mesenteroides-1
