package,Dataset,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5,window_size,Class
contrafold_2,"Dadonaite,2019",0.316637989,0.00691827,0.303040644,0.329643071,0.815788388,0.168971728,0.483759532,1.127153007,300,viral_gRNA
contrafold_2,"Huber, 2019 in virion",0.400970039,0.002693879,0.395882801,0.406213849,0.886730625,0.057865093,0.773957186,0.994630091,300,viral_gRNA
contrafold_2,"Huber, 2019 in vitro",0.171337208,0.007695662,0.156513374,0.187092714,0.058702691,0.676216228,-1.300589607,1.389490754,300,viral_gRNA
contrafold_2,"Kutchko,2018",0.412408034,0.005047444,0.402506436,0.422256909,0.745224569,0.124954283,0.502122864,0.988294642,300,viral_gRNA
contrafold_2,"Lavender,2015",0.339680898,0.006085738,0.327735196,0.351751988,0.557539717,0.154784771,0.251039062,0.860224684,300,viral_gRNA
contrafold_2,"Siegfried,2014",0.36515772,0.005850377,0.353462301,0.37634077,0.574431405,0.157408445,0.250786073,0.86444633,300,viral_gRNA
contrafold_2,"Simon,2019 Invitro",0.581019661,0.00696965,0.567392268,0.594339226,0.563430184,0.131064245,0.304168513,0.823372136,300,viral_gRNA
contrafold_2,"Simon,2019 Invivo",0.48509136,0.008381723,0.468661036,0.501662459,0.932955046,0.149209115,0.632410098,1.216145026,300,viral_gRNA
contrafold_2,"Watters,2018",-0.018123541,0.026700722,-0.070139197,0.031262144,0.007847805,0.870584571,-1.671255103,1.623338784,300,viral_gRNA
contrafold_2,"Watts,2009",0.480404868,0.008235194,0.465200541,0.496513348,0.473016111,0.212925662,0.067113278,0.886469871,300,viral_gRNA
eternafold_B,"Dadonaite,2019",0.343533606,0.006906027,0.330407811,0.356361903,1.568954383,0.132632438,1.294435378,1.815134984,300,viral_gRNA
eternafold_B,"Huber, 2019 in virion",0.419993665,0.002566102,0.415131327,0.424872551,1.371709075,0.051956738,1.269809519,1.472998114,300,viral_gRNA
eternafold_B,"Huber, 2019 in vitro",0.183594764,0.007997,0.1683436,0.198675573,1.168672501,0.584027812,-0.302014225,2.033693352,300,viral_gRNA
eternafold_B,"Kutchko,2018",0.434544547,0.005044206,0.424926265,0.444524116,1.362908725,0.109297201,1.154425364,1.577514147,300,viral_gRNA
eternafold_B,"Lavender,2015",0.37061267,0.005995218,0.35904213,0.382781859,1.4227286,0.126155128,1.169021505,1.648993992,300,viral_gRNA
eternafold_B,"Siegfried,2014",0.390145636,0.005402197,0.379321404,0.400505011,1.338143644,0.13384956,1.06740288,1.601807608,300,viral_gRNA
eternafold_B,"Simon,2019 Invitro",0.627068111,0.006589512,0.614599163,0.63920897,1.542426379,0.099333326,1.347498539,1.736507584,300,viral_gRNA
eternafold_B,"Simon,2019 Invivo",0.494478167,0.008150106,0.4783514,0.5100468,1.133896028,0.142651026,0.839340657,1.386382734,300,viral_gRNA
eternafold_B,"Watters,2018",-0.000625477,0.027423234,-0.05622413,0.052659583,0.571160144,0.847778435,-1.307105487,1.903459348,300,viral_gRNA
eternafold_B,"Watts,2009",0.514810973,0.007779824,0.499581432,0.529775035,1.453959956,0.166957684,1.106672423,1.76773495,300,viral_gRNA
rnasoft_blstar,"Dadonaite,2019",0.295986311,0.007388193,0.281134712,0.310660954,0.23739517,0.186326457,-0.138126299,0.575395369,300,viral_gRNA
rnasoft_blstar,"Huber, 2019 in virion",0.378065655,0.002970237,0.37227729,0.383757666,0.302955784,0.068052696,0.164815767,0.432949406,300,viral_gRNA
rnasoft_blstar,"Huber, 2019 in vitro",0.173361762,0.007809878,0.158942241,0.187701389,0.246192802,0.673861377,-1.106901507,1.479772996,300,viral_gRNA
rnasoft_blstar,"Kutchko,2018",0.400667935,0.005204438,0.390728506,0.41073598,0.417828905,0.132698685,0.164231946,0.681014498,300,viral_gRNA
rnasoft_blstar,"Lavender,2015",0.332988093,0.00659008,0.320402945,0.345767053,0.369633546,0.167571478,0.048326641,0.677245063,300,viral_gRNA
rnasoft_blstar,"Siegfried,2014",0.358039098,0.006111908,0.345781357,0.369686875,0.357118549,0.169062226,0.000475146,0.692850959,300,viral_gRNA
rnasoft_blstar,"Simon,2019 Invitro",0.585114945,0.007036662,0.569569051,0.597592824,0.65076912,0.133756796,0.358132354,0.891318197,300,viral_gRNA
rnasoft_blstar,"Simon,2019 Invivo",0.461440401,0.008788894,0.444844549,0.478567777,0.426035549,0.169550024,0.096869255,0.764962601,300,viral_gRNA
rnasoft_blstar,"Watters,2018",-0.028583324,0.029176589,-0.085341394,0.031118703,-0.337177475,0.881280161,-1.8134723,1.515587707,300,viral_gRNA
rnasoft_blstar,"Watts,2009",0.485017803,0.008507041,0.46808202,0.501330743,0.606468306,0.219602528,0.165044908,1.042927065,300,viral_gRNA
rnastructure,"Dadonaite,2019",0.245031971,0.008320955,0.229121477,0.261234238,-1.184701351,0.17559814,-1.51013519,-0.836583282,300,viral_gRNA
rnastructure,"Huber, 2019 in virion",0.315191685,0.003120473,0.309173174,0.321087937,-1.299010206,0.060977524,-1.417709046,-1.178825957,300,viral_gRNA
rnastructure,"Huber, 2019 in vitro",0.160210187,0.007714059,0.14474616,0.175786338,-0.95533847,0.599596586,-1.93275415,0.457687333,300,viral_gRNA
rnastructure,"Kutchko,2018",0.344511197,0.005955124,0.333152768,0.355919046,-1.148125885,0.13399913,-1.398295095,-0.883700909,300,viral_gRNA
rnastructure,"Lavender,2015",0.272487492,0.007248424,0.258245622,0.286360468,-1.319548805,0.147970701,-1.593666532,-1.020925504,300,viral_gRNA
rnastructure,"Siegfried,2014",0.30184344,0.006804024,0.288440349,0.315295475,-1.354502226,0.15400428,-1.625271464,-1.036989173,300,viral_gRNA
rnastructure,"Simon,2019 Invitro",0.496917,0.007933666,0.481087552,0.512696759,-1.222076262,0.131269889,-1.463940252,-0.955838806,300,viral_gRNA
rnastructure,"Simon,2019 Invivo",0.377952404,0.009109848,0.360007697,0.395397561,-1.360926667,0.149994446,-1.635216873,-1.058249966,300,viral_gRNA
rnastructure,"Watters,2018",-0.008380149,0.027134354,-0.057473332,0.045329659,0.311996094,0.856138732,-1.362246159,1.833246987,300,viral_gRNA
rnastructure,"Watts,2009",0.417699642,0.008843795,0.400914019,0.434771112,-1.308319752,0.18453015,-1.654867663,-0.928638072,300,viral_gRNA
rnastructure_60C,"Dadonaite,2019",0.280238401,0.007662783,0.264288275,0.294998009,-0.202443988,0.198985457,-0.605398719,0.181562289,300,viral_gRNA
rnastructure_60C,"Huber, 2019 in virion",0.364641174,0.002972958,0.359062584,0.370406273,-0.03905742,0.069463733,-0.173049746,0.097076608,300,viral_gRNA
rnastructure_60C,"Huber, 2019 in vitro",0.173094304,0.007481892,0.158366678,0.187837063,0.219988831,0.650000915,-1.072813261,1.462600328,300,viral_gRNA
rnastructure_60C,"Kutchko,2018",0.387225447,0.005429306,0.376658841,0.397901296,0.04225988,0.138929829,-0.222354941,0.310828544,300,viral_gRNA
rnastructure_60C,"Lavender,2015",0.324773066,0.006625635,0.311921757,0.337586075,0.140054694,0.172177126,-0.196126474,0.465560657,300,viral_gRNA
rnastructure_60C,"Siegfried,2014",0.351601771,0.006238526,0.339629178,0.363854967,0.161242234,0.173433855,-0.174313539,0.503469588,300,viral_gRNA
rnastructure_60C,"Simon,2019 Invitro",0.54597411,0.007274858,0.530905725,0.559527936,-0.180831598,0.142022152,-0.483439316,0.084598879,300,viral_gRNA
rnastructure_60C,"Simon,2019 Invivo",0.44649753,0.008682128,0.429182819,0.463258552,0.106877911,0.174504394,-0.251217056,0.454541016,300,viral_gRNA
rnastructure_60C,"Watters,2018",-0.027203289,0.028150028,-0.083325342,0.028819254,-0.302995238,0.862855096,-1.841515445,1.446959759,300,viral_gRNA
rnastructure_60C,"Watts,2009",0.460647562,0.008369527,0.444066057,0.476880724,-0.089153709,0.222945253,-0.52628068,0.356215258,300,viral_gRNA
vienna_2,"Dadonaite,2019",0.249652466,0.008121183,0.234514817,0.26649015,-1.056616189,0.18770941,-1.416967853,-0.671401351,300,viral_gRNA
vienna_2,"Huber, 2019 in virion",0.317733117,0.003138328,0.311481353,0.323933062,-1.234212115,0.062443902,-1.349934553,-1.102710574,300,viral_gRNA
vienna_2,"Huber, 2019 in vitro",0.161235113,0.007716903,0.146190038,0.176183142,-0.858361071,0.613289064,-1.897732969,0.427117669,300,viral_gRNA
vienna_2,"Kutchko,2018",0.335252068,0.006084131,0.322900099,0.347257926,-1.405323449,0.119863999,-1.621566983,-1.154844381,300,viral_gRNA
vienna_2,"Lavender,2015",0.274672349,0.007130665,0.26135881,0.289126089,-1.259252576,0.156275523,-1.54246918,-0.927334434,300,viral_gRNA
vienna_2,"Siegfried,2014",0.303920423,0.006795026,0.290533893,0.317107983,-1.290869397,0.156308848,-1.569693886,-0.990534622,300,viral_gRNA
vienna_2,"Simon,2019 Invitro",0.503925644,0.007970824,0.488064925,0.520647027,-1.073381005,0.136480735,-1.342359708,-0.809173354,300,viral_gRNA
vienna_2,"Simon,2019 Invivo",0.382102632,0.009512619,0.364134583,0.400834749,-1.271362164,0.158957186,-1.561360361,-0.954387507,300,viral_gRNA
vienna_2,"Watters,2018",-0.01381072,0.027183917,-0.06721711,0.04029594,0.144711655,0.851549241,-1.501987905,1.715547784,300,viral_gRNA
vienna_2,"Watts,2009",0.423909797,0.008742422,0.406680259,0.440700306,-1.131511305,0.200313034,-1.521831097,-0.728369062,300,viral_gRNA
vienna_2_60C,"Dadonaite,2019",0.281130457,0.007355544,0.267002671,0.295628618,-0.178376412,0.193538349,-0.562952108,0.184731488,300,viral_gRNA
vienna_2_60C,"Huber, 2019 in virion",0.366605461,0.002908569,0.361004383,0.372413314,0.010884257,0.069971869,-0.130232917,0.144117058,300,viral_gRNA
vienna_2_60C,"Huber, 2019 in vitro",0.172004931,0.007751346,0.156985636,0.186981984,0.120142717,0.670922477,-1.268316275,1.470849238,300,viral_gRNA
vienna_2_60C,"Kutchko,2018",0.38517461,0.005620378,0.37458692,0.396081729,-0.014772746,0.14398774,-0.300152419,0.258860015,300,viral_gRNA
vienna_2_60C,"Lavender,2015",0.322943069,0.006660845,0.310829596,0.336140772,0.088844824,0.17374449,-0.26639425,0.432777198,300,viral_gRNA
vienna_2_60C,"Siegfried,2014",0.353327009,0.00596952,0.341184284,0.365182787,0.21443579,0.171870453,-0.140955785,0.549619042,300,viral_gRNA
vienna_2_60C,"Simon,2019 Invitro",0.541294066,0.007657356,0.52588156,0.55666985,-0.28033682,0.149060942,-0.574239004,0.019532623,300,viral_gRNA
vienna_2_60C,"Simon,2019 Invivo",0.443012898,0.008966586,0.425675896,0.460475631,0.032524296,0.178909824,-0.323381381,0.3750707,300,viral_gRNA
vienna_2_60C,"Watters,2018",-0.030322121,0.028334639,-0.087028179,0.026048248,-0.395542985,0.861830663,-1.842448474,1.329722255,300,viral_gRNA
vienna_2_60C,"Watts,2009",0.463581434,0.00842395,0.447490423,0.480670999,-0.004459607,0.222354964,-0.438433588,0.454977742,300,viral_gRNA
contrafold_2,"Huston, 2021 SARS-CoV-2 in vivo",0.212293759,0.005472109,0.20150206,0.224042519,0.536601573,0.220389806,0.084128567,0.950912568,300,SARS-CoV-2_gRNA
contrafold_2,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.484214711,0.006054546,0.472232426,0.495748629,0.165154679,0.220872411,-0.278261495,0.580610275,300,SARS-CoV-2_gRNA
contrafold_2,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.310695738,0.005025541,0.300645483,0.320187043,0.327587923,0.179765701,-0.022750485,0.676868215,300,SARS-CoV-2_gRNA
contrafold_2,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.324505798,0.004819897,0.315133761,0.334026752,0.495715803,0.172111193,0.147848299,0.812456734,300,SARS-CoV-2_gRNA
contrafold_2,SARS-CoV-2 5' UTRs,0.409128181,0.012265453,0.385678212,0.432547952,0.283250978,0.488614912,-0.717608359,1.209526667,300,SARS-CoV-2_gRNA
contrafold_2,"Sun, 2021 SARS-CoV-2 in vitro",0.314329201,0.005130605,0.303949336,0.32443991,0.153456704,0.203436286,-0.252411298,0.557246768,300,SARS-CoV-2_gRNA
contrafold_2,"Sun, 2021 SARS-CoV-2 in vivo",0.395406711,0.004760329,0.38636058,0.404406639,0.277793136,0.166416982,-0.046861232,0.589287717,300,SARS-CoV-2_gRNA
eternafold_B,"Huston, 2021 SARS-CoV-2 in vivo",0.240836642,0.005264133,0.230541122,0.250525118,1.824703948,0.130656083,1.54849094,2.056806218,300,SARS-CoV-2_gRNA
eternafold_B,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.516741665,0.005965294,0.504653628,0.528729906,1.44170967,0.164786013,1.117909863,1.732256859,300,SARS-CoV-2_gRNA
eternafold_B,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.344922395,0.004827941,0.335715282,0.353946105,1.629597225,0.124354351,1.376568298,1.847828241,300,SARS-CoV-2_gRNA
eternafold_B,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.351488896,0.004907643,0.342070332,0.36083299,1.550826765,0.132084388,1.281415275,1.799145054,300,SARS-CoV-2_gRNA
eternafold_B,SARS-CoV-2 5' UTRs,0.428817881,0.012854707,0.403876785,0.454421316,1.087635068,0.425865421,0.159158201,1.803617231,300,SARS-CoV-2_gRNA
eternafold_B,"Sun, 2021 SARS-CoV-2 in vitro",0.350454865,0.00490334,0.340962027,0.359444635,1.693686551,0.135290654,1.38788913,1.944450605,300,SARS-CoV-2_gRNA
eternafold_B,"Sun, 2021 SARS-CoV-2 in vivo",0.434785014,0.004804597,0.425504753,0.444030402,1.756296712,0.108929019,1.539025471,1.951401662,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Huston, 2021 SARS-CoV-2 in vivo",0.206699415,0.005779981,0.195368877,0.217191462,0.284306825,0.242622166,-0.179158609,0.733999952,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.511027649,0.006064811,0.499640247,0.522418947,1.217649865,0.186589905,0.827073539,1.56168676,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.316606347,0.005258006,0.306067172,0.326621486,0.551832986,0.179645045,0.187076118,0.894899247,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.327215516,0.005083211,0.317275749,0.337279614,0.599951238,0.173691077,0.242075406,0.928887561,300,SARS-CoV-2_gRNA
rnasoft_blstar,SARS-CoV-2 5' UTRs,0.415231305,0.013366956,0.38902723,0.441319927,0.533329062,0.482474475,-0.476209442,1.39773289,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Sun, 2021 SARS-CoV-2 in vitro",0.325121468,0.005307828,0.314878147,0.336140555,0.613667256,0.197909242,0.229113948,1.009916355,300,SARS-CoV-2_gRNA
rnasoft_blstar,"Sun, 2021 SARS-CoV-2 in vivo",0.405224409,0.004860269,0.395747201,0.415356131,0.646127326,0.161372988,0.325526362,0.961074584,300,SARS-CoV-2_gRNA
rnastructure,"Huston, 2021 SARS-CoV-2 in vivo",0.182386107,0.00644298,0.17035676,0.195130737,-0.809556217,0.247595753,-1.261653469,-0.274850305,300,SARS-CoV-2_gRNA
rnastructure,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.454803392,0.006945168,0.441520859,0.468186307,-0.984709223,0.220816299,-1.398422727,-0.522331199,300,SARS-CoV-2_gRNA
rnastructure,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.268096074,0.005731448,0.256401907,0.279270146,-1.290306606,0.155978261,-1.588027836,-0.944081208,300,SARS-CoV-2_gRNA
rnastructure,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.279762189,0.005249252,0.269357208,0.290668319,-1.252505282,0.157269752,-1.546688668,-0.932595417,300,SARS-CoV-2_gRNA
rnastructure,SARS-CoV-2 5' UTRs,0.374981382,0.014634465,0.345990569,0.404588697,-1.089137982,0.480214379,-1.873446534,0.016525215,300,SARS-CoV-2_gRNA
rnastructure,"Sun, 2021 SARS-CoV-2 in vitro",0.282513763,0.005450857,0.271948008,0.292992496,-1.19957772,0.178195175,-1.51976578,-0.833782081,300,SARS-CoV-2_gRNA
rnastructure,"Sun, 2021 SARS-CoV-2 in vivo",0.360106519,0.00568904,0.349160951,0.370467301,-1.044482429,0.170154813,-1.379604268,-0.707886891,300,SARS-CoV-2_gRNA
rnastructure_60C,"Huston, 2021 SARS-CoV-2 in vivo",0.192256722,0.005977313,0.181111921,0.204426836,-0.36695856,0.253422402,-0.842261473,0.156794788,300,SARS-CoV-2_gRNA
rnastructure_60C,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.464992909,0.006112885,0.452647982,0.476832405,-0.588627928,0.214870378,-0.97753432,-0.178023417,300,SARS-CoV-2_gRNA
rnastructure_60C,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.298173825,0.005371005,0.288134848,0.309170149,-0.149869912,0.192989179,-0.525597319,0.216358631,300,SARS-CoV-2_gRNA
rnastructure_60C,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.306752125,0.005149459,0.296616445,0.317184216,-0.19808963,0.186242088,-0.551537734,0.184625738,300,SARS-CoV-2_gRNA
rnastructure_60C,SARS-CoV-2 5' UTRs,0.400210118,0.013237351,0.374881464,0.426010794,-0.072233991,0.519748151,-1.127960525,0.891439798,300,SARS-CoV-2_gRNA
rnastructure_60C,"Sun, 2021 SARS-CoV-2 in vitro",0.307891301,0.005432074,0.297050881,0.318486036,-0.119619695,0.211751532,-0.521529152,0.320793578,300,SARS-CoV-2_gRNA
rnastructure_60C,"Sun, 2021 SARS-CoV-2 in vivo",0.380180808,0.005135188,0.37058959,0.39050958,-0.293471303,0.175925113,-0.625936713,0.038147967,300,SARS-CoV-2_gRNA
vienna_2,"Huston, 2021 SARS-CoV-2 in vivo",0.180070812,0.006567802,0.167125737,0.192448612,-0.913088449,0.246186997,-1.360430511,-0.42154867,300,SARS-CoV-2_gRNA
vienna_2,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.46314183,0.006776086,0.449507759,0.475896648,-0.658525479,0.237115621,-1.109907866,-0.175445188,300,SARS-CoV-2_gRNA
vienna_2,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.275269049,0.00569589,0.264002599,0.2864328,-1.017847562,0.173839939,-1.356991894,-0.67669889,300,SARS-CoV-2_gRNA
vienna_2,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.284188336,0.005520706,0.273674822,0.294991644,-1.079146731,0.174402365,-1.411712738,-0.726850137,300,SARS-CoV-2_gRNA
vienna_2,SARS-CoV-2 5' UTRs,0.372103904,0.014866721,0.343735281,0.400025248,-1.203010005,0.470984655,-1.960976737,-0.157965009,300,SARS-CoV-2_gRNA
vienna_2,"Sun, 2021 SARS-CoV-2 in vitro",0.287263119,0.005668401,0.276139163,0.298272885,-0.99857513,0.202988834,-1.386043733,-0.607287523,300,SARS-CoV-2_gRNA
vienna_2,"Sun, 2021 SARS-CoV-2 in vivo",0.362710928,0.005583913,0.351765332,0.373991128,-0.948177597,0.176058051,-1.269956585,-0.565630388,300,SARS-CoV-2_gRNA
vienna_2_60C,"Huston, 2021 SARS-CoV-2 in vivo",0.188029511,0.005887374,0.176196815,0.198690739,-0.556009119,0.241854728,-1.013269988,-0.090463564,300,SARS-CoV-2_gRNA
vienna_2_60C,"Manfredonia, 2020 SARS-CoV-2 DMS in vitro",0.46485752,0.006353937,0.452604525,0.477814665,-0.592651585,0.221138408,-0.994204047,-0.151105136,300,SARS-CoV-2_gRNA
vienna_2_60C,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vitro",0.300771827,0.005256056,0.29021375,0.310349615,-0.050994053,0.187012326,-0.433186237,0.296933662,300,SARS-CoV-2_gRNA
vienna_2_60C,"Manfredonia, 2020 SARS-CoV-2 SHAPE in vivo",0.308830266,0.005358545,0.298221971,0.31886478,-0.116752163,0.190244666,-0.473482895,0.235283977,300,SARS-CoV-2_gRNA
vienna_2_60C,SARS-CoV-2 5' UTRs,0.413335664,0.012852742,0.389069548,0.438712908,0.460166871,0.477596641,-0.459755893,1.337102035,300,SARS-CoV-2_gRNA
vienna_2_60C,"Sun, 2021 SARS-CoV-2 in vitro",0.307369765,0.005241625,0.297259517,0.317769235,-0.143037965,0.209732381,-0.560175262,0.242451724,300,SARS-CoV-2_gRNA
vienna_2_60C,"Sun, 2021 SARS-CoV-2 in vivo",0.3774926,0.005218184,0.367739952,0.387308137,-0.394085844,0.181792113,-0.726923898,-0.04624647,300,SARS-CoV-2_gRNA
contrafold_2,"Leppek, 2021, Nluc mRNA 1M7 in vitro",0.284466676,0.023833194,0.234673166,0.330170099,-0.415275108,0.847000349,-1.847252193,1.237232161,300,mRNA
contrafold_2,"Leppek, 2021, Nluc mRNA DMS in vitro",0.553748076,0.021136144,0.512002761,0.593681746,0.524970813,0.663429312,-0.833938759,1.698291528,300,mRNA
contrafold_2,"Mauger,2019",0.451928284,0.003083417,0.445628367,0.457791825,0.667031014,0.082727769,0.501841781,0.822581798,300,mRNA
contrafold_2,"Sun, 2019 HEK293 chromatin in vitro",0.204215885,0.001267174,0.201836715,0.20668726,0.254658793,0.051975772,0.156193468,0.354967922,300,mRNA
contrafold_2,"Sun, 2019 HEK293 chromatin in vivo",0.129798098,0.002801135,0.124323533,0.135341944,0.358051196,0.179397731,0.004756986,0.689419996,300,mRNA
contrafold_2,"Sun, 2019 HEK293 cytoplasm in vitro",0.267303136,0.001144893,0.265127017,0.269534072,0.407450686,0.03888408,0.331652762,0.481074766,300,mRNA
contrafold_2,"Sun, 2019 HEK293 cytoplasm in vivo",0.18342615,0.001999734,0.179457671,0.187434121,0.277919086,0.098648523,0.091439585,0.467198533,300,mRNA
contrafold_2,"Sun, 2019 HEK293 nucleoplasm in vitro",0.275038504,0.001058331,0.273091896,0.277101757,0.235558327,0.037708684,0.165754819,0.30814718,300,mRNA
