package,Dataset,spearman_mean,spearman_std,spearman_percentile_2.5,spearman_percentile_97.5,spearman_zscore_by_Dataset_mean,spearman_zscore_by_Dataset_std,spearman_zscore_by_Dataset_percentile_2.5,spearman_zscore_by_Dataset_percentile_97.5
contrafold_2,"101, FMN",0.3701375427679669,0.19345436544176792,0.142572483945,0.6585090075575,0.1653735477900316,1.1164456196689418,-1.1385272046623678,1.8248760818505567
contrafold_2,"107, Theo",0.41163055775790036,0.1666999820659267,0.09841221491,0.633450742755,0.5353035554696426,1.0884047979937639,-1.4707704327972533,1.9748407514667174
contrafold_2,"107, Trp",0.28842158954826624,0.20395644855281192,0.0419869157125,0.6253901421250001,-0.01899638039999321,1.1180109821594881,-1.339245644853063,1.823119620182122
contrafold_2,"93, FMN",0.1923129571270669,0.17677212178070986,-0.0461903052825,0.4772088446075,0.26614713917005667,1.1897428027185994,-1.3246466104368566,2.1831723583638722
contrafold_2,"95, FMN",0.33963630462563316,0.11523249930215486,0.191102854555,0.5398491791925,0.5629100053620367,0.927785740638181,-0.6407009279963541,2.1692994116373705
contrafold_2,"96, FMN",0.464766842272799,0.12810169786866415,0.21329149757250002,0.685890156055,0.7492231446384922,0.8731128109602952,-0.9473886001325165,2.2289364659615276
contrafold_2,"97, FMN",0.5093169152154996,0.05187794132260327,0.40777335118499997,0.5951562379975001,1.0981485242120417,0.5844739245744871,-0.066105306019102,2.052126146707705
contrafold_2,"98, FMN",0.2238606744014672,0.2454532323804707,-0.1815769966175,0.485476229965,0.20591392674470577,0.8389549918295209,-1.179648827655245,1.094891047667882
contrafold_2,"Ribologic, FMN",0.28754213303780013,0.2050346712180408,-0.018156958887499998,0.5296025597050001,0.3281234048756641,1.0941891266240955,-1.2979284540732972,1.6154750081608045
contrafold_2,"Ribologic, Theo",0.5234441060481986,0.060796865314247966,0.40319993095750006,0.6385552477700001,0.8931687003943465,0.48008063305277643,-0.07093517250566717,1.8162104642858623
contrafold_2,"Ribologic, Trp",0.34149831318196583,0.10844488272628056,0.14274469757500002,0.5448667798200001,-0.023901060384166693,0.9232490425903044,-1.6848392990155254,1.7067725081806413
contrafold_2_nc,"101, FMN",0.38331725628626706,0.18444941507285478,0.157441398505,0.657525902355,0.24147225954575768,1.0647168914282301,-1.058194621244767,1.8175758004303277
contrafold_2_nc,"107, Theo",0.4118743313761665,0.15485644388020894,0.13527014218250002,0.6410582756775001,0.5375000973088266,1.0085381261300614,-1.2656916940917202,2.015775071135286
contrafold_2_nc,"107, Trp",0.3423386276180332,0.20132052224808605,0.09496419375500001,0.6735384534425001,0.2776945085537189,1.1047046597994767,-1.0572425763356461,2.0829846883674463
contrafold_2_nc,"93, FMN",0.19739525945899988,0.13292716717943323,0.0038961858225000008,0.4238996412,0.30043190569247247,0.8939328714865293,-0.9917898403360851,1.7966752820841436
contrafold_2_nc,"95, FMN",0.3669198950298667,0.10179124136837588,0.20255857064250002,0.5334292296900001,0.7824046218704217,0.8193384421382507,-0.5451098993483547,2.1042334241437897
contrafold_2_nc,"96, FMN",0.4282816726441338,0.12128200430725453,0.1809281216275,0.62875399025,0.4968764346831437,0.826643627009568,-1.1734388194059113,1.862157293551182
contrafold_2_nc,"97, FMN",0.4948948336234673,0.035767350765351244,0.4230590502525,0.5596236020500001,0.9343362332257937,0.4017439766086284,0.12792564845263388,1.6626441154942684
contrafold_2_nc,"98, FMN",0.21461360762283366,0.2323753958011081,-0.1828138088025,0.456694190245,0.17408900982016667,0.7941610672676899,-1.175914084143732,0.9929737736794665
contrafold_2_nc,"Ribologic, FMN",0.2637799891835003,0.09108741607307884,0.1089956762725,0.37613377263000003,0.20125687579384602,0.4855794524379566,-0.6152626758064424,0.7920663168901272
contrafold_2_nc,"Ribologic, Theo",0.46863008259866507,0.07677614447760292,0.32220935397249995,0.6164156193125,0.4555548078690771,0.6075516840137691,-0.7293357601910934,1.6245306409738014
contrafold_2_nc,"Ribologic, Trp",0.3743680418269003,0.11912609641949211,0.16277082502,0.592603168415,0.2589114092261267,1.0197410342642954,-1.5511725699743386,2.1222448594802352
contrafold_1,"101, FMN",0.374088559771901,0.18222592085465944,0.16130261777250002,0.6481121844575,0.1881173411657425,1.0519702479155992,-1.0345536159031026,1.7684500754294552
contrafold_1,"107, Theo",0.4146893734160997,0.1287072095781973,0.18262650948250003,0.6259325273025,0.555568273766025,0.8380987394196315,-0.9434598411664658,1.9212944176459321
contrafold_1,"107, Trp",0.34514487983586756,0.21359570466083608,0.08669278135750001,0.6915951161925,0.29233080857945754,1.1721717299129486,-1.1076353547465687,2.1804078618932126
contrafold_1,"93, FMN",0.16599438304956685,0.12817976753104188,-0.004064121944999989,0.39112928407750003,0.08886593574413691,0.8612213147854691,-1.0552376104097867,1.5906486100403912
contrafold_1,"95, FMN",0.3566939610412996,0.10009621236442286,0.198164855415,0.5246275855525,0.700525698932018,0.8050458926815977,-0.5748043577988066,2.0394090737290664
contrafold_1,"96, FMN",0.42913632198796625,0.13369711998515343,0.16469349567000002,0.6461213548400001,0.5031786784542078,0.9115833649872201,-1.2839441458844718,1.9651795506525946
contrafold_1,"97, FMN",0.4909596028167666,0.0499837623134449,0.40176174809000004,0.5850144200275,0.8902220190427126,0.565262762634557,-0.11865040160621551,1.9482623832651846
contrafold_1,"98, FMN",0.17761798188200031,0.2716697613434409,-0.2693041599,0.4624508580725001,0.04773929660325988,0.9286770473094638,-1.4602261949873754,1.0154069784632753
contrafold_1,"Ribologic, FMN",0.22742953016550038,0.057255760068019905,0.12519279543250003,0.314165463835,0.007160283601419947,0.30508457822414237,-0.5397063989199108,0.47021326222758947
contrafold_1,"Ribologic, Theo",0.40468008308746617,0.08696545065775436,0.2455935741675,0.5725379467925,-0.05690130563226937,0.6863242361512432,-1.3068431133411231,1.2519572633810518
contrafold_1,"Ribologic, Trp",0.3638502770342662,0.11015921437080066,0.161145938265,0.5659301322425,0.16766835908079167,0.939622623727992,-1.5264728924893305,1.8926830612923433
rnastructure_60C,"101, FMN",0.3566006724205336,0.15793290654962344,0.17339464966749998,0.6011746134075,0.08709092948689956,0.9112977039840199,-0.960806440561898,1.4903924324651714
rnastructure_60C,"107, Theo",0.37686051751090044,0.1228364351967058,0.1477405709125,0.5780843061375,0.3089648480492939,0.8000768129666589,-1.172339965982939,1.6251583944537848
rnastructure_60C,"107, Trp",0.33349853640979993,0.17826830543588948,0.10051881334250001,0.6305556242850001,0.2284608082213255,0.9774965687115716,-1.05612210674392,1.8511363451355471
rnastructure_60C,"93, FMN",0.15710695212469994,0.15700601619514662,-0.058183458769999995,0.4182512002450001,0.028606353556573025,1.05605935535031,-1.4103393975555132,1.789484324490889
rnastructure_60C,"95, FMN",0.27587147225046643,0.11849881148955874,0.117898914795,0.4856018789425,0.04899446579673214,0.9524532286262998,-1.2091975528084333,1.7206246651626849
rnastructure_60C,"96, FMN",0.3860484797760675,0.09342284713004147,0.20854735303250002,0.5556750877675,0.2069578853428311,0.6370273290284404,-0.9765375053121368,1.3589485237062326
rnastructure_60C,"97, FMN",0.4137532631608661,0.043985961517508956,0.3246155303025,0.49028905484750007,0.012379870297084244,0.49592471824821,-0.9980642350766802,0.8807871191580798
rnastructure_60C,"98, FMN",0.16980118555326595,0.28614839529596003,-0.30127312594999994,0.45970143931,0.02096246005452642,0.9779766869874705,-1.5733279862071798,1.001330021048483
rnastructure_60C,"Ribologic, FMN",0.26195992451483285,0.20773504846038657,-0.04935333703000001,0.4999171121625,0.19158964081688096,1.1084066523940066,-1.4659646428370166,1.4570183183488072
rnastructure_60C,"Ribologic, Theo",0.43738745906913307,0.09284589658608404,0.2453664550275,0.5868659903825,0.2031585903071211,0.7348830386569262,-1.2997590986558838,1.4181898879728505
rnastructure_60C,"Ribologic, Trp",0.3985087028049331,0.12122810851121849,0.17097383772250002,0.6150586044625,0.46494237536648203,1.0336470125222226,-1.490894449981862,2.2584054471526684
vienna_2_60C,"101, FMN",0.3508722320201672,0.17375849196627022,0.17727416284000003,0.6204719972925,0.05408771394689948,1.0027068772657806,-0.9471255607188768,1.5975990664075208
vienna_2_60C,"107, Theo",0.36698460317450105,0.099076659761822,0.18136082333,0.5435481777400001,0.24306298510270866,0.6442629675080638,-0.9476062607953979,1.391576211751144
vienna_2_60C,"107, Trp",0.3492620241411672,0.1879119656215219,0.10890678718500002,0.6591649238075001,0.3153790565922377,1.0292939357863697,-0.9932351174989564,1.9974739477385006
vienna_2_60C,"93, FMN",0.1338391682978335,0.15458147391334584,-0.06980777389250001,0.3956294511500001,-0.12771390195321355,1.0393040791932322,-1.482544142853171,1.6305069663877951
vienna_2_60C,"95, FMN",0.2559074187383,0.09802650084558091,0.11836044810750002,0.4373295110725,-0.11244802603565093,0.7878652663892057,-1.2047919728471634,1.3336828913054186
vienna_2_60C,"96, FMN",0.39360751066423394,0.11362226438430255,0.202552942205,0.6055803424,0.258139114796674,0.774474165344092,-1.0602021577275658,1.6720471030568784
vienna_2_60C,"97, FMN",0.38809431266020056,0.05544532323883281,0.2764438559525,0.47960789490250005,-0.27855755974268925,0.6238533513698977,-1.5079253912727741,0.7455907364283635
vienna_2_60C,"98, FMN",0.16407953246420048,0.3086110251201265,-0.3291765189325,0.4851221246275001,0.0014108173300824678,1.0552826347057593,-1.6773797923738243,1.1037194060859077
vienna_2_60C,"Ribologic, FMN",0.2473372434921001,0.22826727544587205,-0.08422989163750001,0.5224457417325001,0.11355589691225841,1.2179692943192675,-1.6474970477744701,1.5842322316448545
vienna_2_60C,"Ribologic, Theo",0.4257342904685999,0.0637250818028933,0.29859814841000004,0.5458935426775001,0.11086054866897664,0.5046085080025546,-0.8970021161063797,1.053275946711736
vienna_2_60C,"Ribologic, Trp",0.3693464461676662,0.12302206145091053,0.15296918565,0.5908597300700001,0.21613690948588976,1.0546731931027933,-1.6284269473827213,2.1197138246432328
vienna_rnasoft_pars,"101, FMN",0.356016605864134,0.20086600739413019,0.093813914045,0.6417530304425,0.08381641743195004,1.1594302322648609,-1.4237923639956866,1.7284119798573097
vienna_rnasoft_pars,"107, Theo",0.28853571984060034,0.13551647500114836,0.0355794122175,0.49988114852750004,-0.2685253264782923,0.8790740167471733,-1.8903916695941114,1.1067920536259108
vienna_rnasoft_pars,"107, Trp",0.2614847152721996,0.1851611206225155,-0.0114503268425,0.5676046510125001,-0.1667701264081516,1.0142491038970032,-1.6454034950209664,1.488930501937334
vienna_rnasoft_pars,"93, FMN",0.22507998321793346,0.1492974775439842,0.006339259197500001,0.4731417327675001,0.4869516152050134,1.0029035549814709,-0.9873751624349429,2.1218793617447225
vienna_rnasoft_pars,"95, FMN",0.26307514863900017,0.14515921649498134,0.051081828715000006,0.5029309663175,-0.0538214130249864,1.1667044657453693,-1.741319007434305,1.8525788111470858
