package,RMSE_mean,RMSE_std,RMSE_percentile_2.5,RMSE_percentile_97.5,RMSE_zscore_by_Dataset_mean,RMSE_zscore_by_Dataset_std,RMSE_zscore_by_Dataset_percentile_2.5,RMSE_zscore_by_Dataset_percentile_97.5
contrafold_2_nc,1.4187086804454527,0.39830072326297444,0.9902972398700001,2.6648225325025,-1.2455598423016094,0.5754525048925326,-1.9547004462109006,0.27492684053473526
contrafold_2,1.384440067894312,0.31472612550229984,0.9761550339625,2.0146864847375,-1.2251689129031627,0.3036439770158531,-1.6988600052825165,-0.46779925239684395
contrafold_1,1.4417410544559592,0.41760134353981326,0.9685613897875001,2.6928517357675,-1.1596588399912486,0.6871961378361098,-1.8478226217629663,1.0003192719129974
vienna_2_60C,1.6189213845800439,0.30313770722913586,1.1885958015475,2.3174082137675,-0.752019567160711,0.22105549978905586,-1.1974826673867194,-0.35600689754107834
rnastructure_60C,1.6493375875817067,0.31008673899239186,1.2264343851975,2.3753175364574997,-0.6936519734704266,0.23806030114874302,-1.1775041794641146,-0.28059818980524265
vienna_rnasoft_pars,1.7875452059421293,0.3385454817184731,1.24382366426,2.6393771709825002,-0.49168028552181975,0.2773417674471129,-1.075793333218332,0.16318926993864136
vienna_2,1.9014686013401736,0.38741135761470713,1.4327233706675,2.8872146839374997,-0.31241320506252296,0.25379273861107543,-0.7722053586527845,0.2801947610130318
rnastructure_nocoax,1.8970837533948277,0.3951986508389399,1.42568505619,2.9183124532025,-0.2980679252809592,0.28333921928867073,-0.7879492361092211,0.28536130724196124
rnastructure,1.904136132567931,0.38922753349393163,1.4197547471225,2.929633140375,-0.2846755589734322,0.27250510944689854,-0.8001209660595547,0.22616047106540427
rnasoft_blstar,1.8791142902037055,0.26192378289118234,1.469030748675,2.350698708125,-0.27036175210179425,0.38526852504316494,-0.8990060122368286,0.40692874638418813
rnasoft_bl_nodangles,1.8774519184659928,0.2857888221432843,1.4482003828,2.3636270314049996,-0.25814099316334543,0.4386884241536769,-0.9087307805456769,0.4647956773247677
vienna_langdon_pars,1.9431627058033918,0.36432901588212585,1.4719644972525001,2.8392522739075,-0.23369895226203788,0.2494543494394282,-0.6824328773082733,0.27367655538903596
rnasoft_lam-cg,2.030391901612835,0.27612127133978465,1.6262009449875,2.68355197547,-0.07783412870170746,0.28827676888784853,-0.6226577917921158,0.40221052878641994
rnasoft_99_nodangles,2.168538537438556,0.45119885444694885,1.5063910928674997,3.199080737115,0.05925969103286652,0.35906980592012255,-0.4842226949284344,0.8175888466053911
rnasoft_99,2.1694285534793796,0.4525840461011878,1.5019743785475,3.2056164673675003,0.060181587551310714,0.35972485219970757,-0.4825065230194441,0.8166310612598107
rnasoft_nom-cg,2.1061943402456373,0.28336703376529887,1.61534554258,2.6545851244325003,0.14884744508646566,0.48978799952989716,-0.7611326208204284,1.1193728404659422
vienna_1,2.281002777164474,0.9214845886624088,1.34635723152,4.9211415571925,0.22719584400458928,0.9629077474376846,-0.8952290725767226,2.7324691696002654
nupack_95,2.2824062152766604,0.5327335810160996,1.5999967745274999,3.55636102926,0.23191714277152456,0.5231957349462938,-0.6571249600982751,1.2616645451587583
nupack_99,2.2838217643643755,0.5331154131966039,1.5974921973125,3.542682380905,0.2332989668966292,0.524462675895268,-0.6566279441813254,1.2954603783032368
rnasoft_07,2.2088501379966905,0.3146608295521311,1.6566529725949999,2.7610974990175,0.3434372099466048,0.5742988176707247,-0.7135527211270051,1.5415310692905608
nupack_99_60C,2.3852253502979006,0.40886757066856955,1.8359258314800002,3.176304943065,0.41213058538187736,0.41783888375991596,-0.3645762698368977,1.2089022360707598
vienna_2_nodangles,2.6810786325574614,0.5305701999728331,1.9688652187575002,3.8266954354399996,0.9345887970284662,0.3446579305165839,0.28434415212081743,1.5841343352523851
nupack_95_nodangles,3.5182732168783635,0.6696027479267255,2.6264150476099997,4.89138535639,2.3225065817447446,0.38411212381385057,1.4823615423900947,2.9866783039502507
nupack_99_nodangles,3.522878504570995,0.6708747973439915,2.6327148413400003,4.8992434,2.3295680854496945,0.38384802373132837,1.519280418592093,2.9859941182876724
