package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
eternafold_F,0.3536948598510336,0.11943677891483521,0.12724691365750002,0.6333064757874999,-0.978039792739081,0.8457026734533454,-2.3970392797839164,0.7070407041959187
nupack_99,0.3636913089331896,0.12036369716792543,0.14446179547000002,0.637385411055,-0.8700044894551306,0.7385069473003161,-2.1676834163872227,0.7596143700428892
vienna_2,0.39211821851696926,0.10197703720511155,0.15685727262,0.572283828975,-0.5406198483001394,0.6557193200747783,-1.7059786645886281,0.8477514300610749
rnasoft_blstar,0.38927731962198076,0.11448026440051043,0.17597325674750003,0.5820296372099999,-0.40585725974112236,0.9582656436315403,-2.384463259869747,1.3818571624991658
rnastructure,0.416301043219854,0.11304318105449038,0.16990199479,0.620244667825,-0.31829505366783134,0.7857908361455672,-1.6931921312556204,1.228134377583946
eternafold_C,0.4295180578111233,0.10378553714820543,0.17762021951,0.5767915335725,-0.1218108830177211,0.6556552185942451,-1.462313202517979,1.0484438135538758
vienna_2_60C,0.4448223625433995,0.12971337262648958,0.17740522844750004,0.7072212100799998,-0.05728492361520318,0.7650704552574297,-1.4396022604953256,1.384755220567665
eternafold_G,0.42816260345852075,0.13564352091962834,0.1566501352375,0.6186452471299999,-0.056509948903284944,0.9982245406086037,-2.2593582751315835,1.341952441129907
rnastructure_60C,0.46862134986544524,0.1310455328784239,0.18665026697,0.7328123187725,0.19735879255152702,0.7932748477686024,-1.1407889351134153,1.6462629387199739
contrafold_2,0.47599631668916803,0.11328754412135555,0.20003275892250003,0.6455140814899999,0.3500943566712865,0.599552583202801,-1.020749721675403,1.3900944799979673
eternafold_E,0.48260943053240024,0.12840518110739663,0.16619779292,0.6829644597875,0.4006941717662739,0.6913003874847345,-1.151140056683234,1.6906700383784283
eternafold_D,0.490618974218311,0.13014148221767205,0.20228241307,0.6842567396224998,0.5445099717211687,0.8359550046828453,-1.8231359523008857,1.741432363951405
eternafold_A,0.5241116323878231,0.13162223583917312,0.16836198965000002,0.7080402698649999,0.8419927445350854,0.754163475636109,-1.0088041447703056,1.9886678915053537
eternafold_B,0.5355935404747219,0.11571648061753183,0.249502821025,0.7069186281274998,1.0137721621941775,0.6167531065134332,-0.3578043819987133,2.043290660853749
