package,pearson_mean,pearson_std,pearson_percentile_2.5,pearson_percentile_97.5,pearson_zscore_by_Dataset_mean,pearson_zscore_by_Dataset_std,pearson_zscore_by_Dataset_percentile_2.5,pearson_zscore_by_Dataset_percentile_97.5
eternafold_F,0.29231185565311196,0.112598987916932,0.022226816432500004,0.45292101412749985,-0.942629988093069,0.957424413752221,-2.412751541586519,1.209869536243622
nupack_99,0.30052090971088885,0.17270290323496326,-0.19698991903000002,0.5342157644975,-0.7222128090392251,0.8882141083043544,-2.0932996750287267,1.3644978210049514
vienna_2,0.3197220638848433,0.17743128662441063,-0.21910307261,0.5045577544825,-0.48084354991945233,0.6938007524578793,-1.6668289747602039,1.006755807182961
rnastructure,0.3323638584422335,0.17165930549282782,-0.20321028445,0.514401975925,-0.3741489535528453,0.7560439492357436,-1.6663653521265638,1.2254760938004379
rnasoft_blstar,0.33552324153048907,0.16553796406033686,-0.14796703128,0.5536452733799999,-0.2789395267472267,0.8385913132094106,-1.750474146155418,1.5384226955679279
vienna_2_60C,0.36368940978423375,0.17802453378801902,-0.17751986917499996,0.558111317145,-0.05734778308851883,0.7808475959968099,-1.4049633402988917,1.5924955839091153
eternafold_G,0.35307774086386623,0.21566471369729912,-0.2845595783275,0.60129248511,-0.04338054993358099,0.9603215497202677,-2.06793000768904,1.4407291210922728
eternafold_C,0.36838623377762175,0.2079825748498584,-0.30579486637500003,0.5646746289550001,0.05473918294541692,0.669974421158411,-1.3444931008144125,1.3181235240942433
rnastructure_60C,0.38356638853904407,0.17019304434877788,-0.13790229664749995,0.5617635242375001,0.13503643661650014,0.7405126270511246,-1.12143757185054,1.5696672265711304
eternafold_E,0.39006333760070167,0.22048057132822182,-0.29117668402,0.597613888795,0.30967388736130613,0.7604439009161739,-1.3309818813781973,1.6608028817354306
contrafold_2,0.3886721325908563,0.22288631844529558,-0.3012443163675,0.5952736648725001,0.3107184875804173,0.7688603560446778,-1.3342834322679464,1.630754721008562
eternafold_D,0.4015443343439906,0.21836227126283006,-0.2751419371549999,0.6213773312975,0.4738625960162897,0.9131707348532403,-1.8975457315849242,1.820630149424563
eternafold_A,0.4298403977038668,0.2328286011809396,-0.276233784435,0.64422601949,0.7227099675497745,0.8669288001795804,-1.3019496495813796,1.9910685607729652
eternafold_B,0.43982464397100096,0.22839232902028528,-0.27597599847000004,0.6562338483825,0.8927626023042146,0.7958342988715991,-1.0172516829702272,2.056383232595228
