SSTRAND_ID,TYPE,EXT_SOURCE,EXT_ID,ORGANISM,contrafold_2 Sens,vienna_2 Sens,contrafold_2 PPV,vienna_2 PPV,contrafold_2 F-score,vienna_2 F-score,eternafold_A Sens,eternafold_B Sens,eternafold_C Sens,eternafold_D Sens,eternafold_E Sens,eternafold_F Sens,eternafold_G Sens,eternafold_A PPV,eternafold_B PPV,eternafold_C PPV,eternafold_D PPV,eternafold_E PPV,eternafold_F PPV,eternafold_G PPV,eternafold_A F-score,eternafold_B F-score,eternafold_C F-score,eternafold_D F-score,eternafold_E F-score,eternafold_F F-score,eternafold_G F-score
ASE_00005,Ribonuclease P RNA,RNase P Database,A.eutrophus.ct,Ralstonia eutrophus,1,1,1,1,1,1,1,1,1,1,1,0.8,1,1,1,1,1,1,0.727273,1,1,1,1,1,1,0.76277,1
ASE_00007,Ribonuclease P RNA,RNase P Database,A.ferrooxidans-g.ct,Acidothiobacillus ferrooxidans,0.555556,0.555556,0.434783,0.434783,0.491474,0.491474,0.555556,0.555556,0.555556,0.555556,0.944444,0.944444,0.555556,0.434783,0.434783,0.47619,0.434783,0.809524,0.809524,0.434783,0.491474,0.491474,0.514344,0.491474,0.874386,0.874386,0.491474
ASE_00010,Ribonuclease P RNA,RNase P Database,A.laidlawii.ct,Acholeplasma laidlawii,0.794521,0.849315,0.690476,0.62,0.740674,0.725655,0.739726,0.739726,0.808219,0.739726,0.616438,0.561644,0.739726,0.55102,0.556701,0.602041,0.545455,0.445545,0.390476,0.556701,0.638439,0.641721,0.697554,0.635206,0.524071,0.468304,0.641721
ASE_00012,Ribonuclease P RNA,RNase P Database,A.nidulans.ct,Synechococcus sp.,0.685185,0.685185,0.649123,0.74,0.66691,0.712065,0.685185,0.685185,0.685185,0.685185,0.685185,0.62963,0.592593,0.649123,0.637931,0.637931,0.649123,0.637931,0.596491,0.561404,0.66691,0.661136,0.661136,0.66691,0.661136,0.612837,0.576788
ASE_00012,Ribonuclease P RNA,RNase P Database,A.nidulans.ct,Synechococcus sp.,0,0,0,0,0,0,0,0.272727,0,0.272727,0,0.181818,0.272727,0,0.25,0,0.25,0,0.133333,0.25,0,0.261116,0,0.261116,0,0.1557,0.261116
ASE_00015,Ribonuclease P RNA,RNase P Database,A.salinestris-184.ct,Azotobacter salinestris,0.767123,0.452055,0.651163,0.407407,0.706769,0.429151,0.191781,0.589041,0.808219,0.191781,0.60274,0.534247,0.465753,0.147368,0.467391,0.670455,0.150538,0.483516,0.433333,0.365591,0.168114,0.524702,0.736121,0.169913,0.539847,0.481152,0.412644
ASE_00017,Ribonuclease P RNA,RNase P Database,A.truei.ct,Ascaphus truei,0.956522,0.913043,0.956522,0.954545,0.956522,0.933563,0.956522,0.956522,0.956522,0.956522,0.956522,1,0.956522,0.956522,0.956522,1,1,0.956522,0.884615,0.956522,0.956522,0.956522,0.978019,0.978019,0.956522,0.94054,0.956522
ASE_00022,Ribonuclease P RNA,RNase P Database,B.anthracis.ct,Bacillus anthracis,0.364486,0.514019,0.336207,0.518868,0.350061,0.516438,0.383178,0.35514,0.317757,0.35514,0.327103,0.495327,0.383178,0.350427,0.311475,0.274194,0.308943,0.277778,0.449153,0.350427,0.366437,0.332592,0.295173,0.331237,0.301433,0.471675,0.366437
ASE_00028,Ribonuclease P RNA,RNase P Database,B.halodurans.ct,Bacillus halodurans,0.693694,0.711712,0.606299,0.642276,0.648526,0.676103,0.738739,0.693694,0.657658,0.738739,0.72973,0.558559,0.684685,0.625954,0.562044,0.544776,0.625954,0.609023,0.459259,0.550725,0.680012,0.624409,0.598562,0.680012,0.66665,0.506481,0.614063
ASE_00029,Ribonuclease P RNA,RNase P Database,B.megaterium.ct,Bacillus megaterium,0.614679,0.743119,0.582609,0.680672,0.598429,0.71121,0.697248,0.715596,0.834862,0.678899,0.678899,0.46789,0.59633,0.617886,0.629032,0.771186,0.601626,0.637931,0.408,0.53719,0.656369,0.670919,0.802393,0.639096,0.658096,0.43692,0.565988
ASE_00033,Ribonuclease P RNA,RNase P Database,B.thetaiotaomicron.ct,Bacteroides thetaiotaomicron,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.8,0.68,0.68,0.653846,0.708333,0.68,0.68,0.625,0.68,0.68,0.666795,0.694022,0.68,0.68,0.707107,0.68
ASE_00035,Ribonuclease P RNA,RNase P Database,Buchnera-APS.ct,Buchnera sp.,0.888889,0.666667,0.666667,0.75,0.769801,0.707107,0.888889,0.666667,0.888889,0.888889,0.888889,0,0.888889,0.8,0.75,0.666667,0.666667,0.666667,1,0.8,0.843274,0.707107,0.769801,0.769801,0.769801,0,0.843274
ASE_00037,Ribonuclease P RNA,RNase P Database,C.acetobutylicum.ct,Clostridium acetobutylicum,1,1,1,1,1,1,0.857143,1,1,0.857143,1,1,1,1,1,0.875,1,0.875,0.875,1,0.92582,1,0.935414,0.92582,0.935414,0.935414,1
ASE_00037,Ribonuclease P RNA,RNase P Database,C.acetobutylicum.ct,Clostridium acetobutylicum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00040,Ribonuclease P RNA,RNase P Database,C.crescentus.ct,Caulobacter crescentus,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.875,1,1,1,1,1,1,0.935414,1
ASE_00041,Ribonuclease P RNA,RNase P Database,C.difficile.ct,Clostridium difficile,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.857143,1,1,1,1,1,1,0.92582,1,1
ASE_00042,Ribonuclease P RNA,RNase P Database,C.diphtheriae.ct,Corynebacterium diphtheriae,0.66,0.64,0.647059,0.64,0.653497,0.64,0.56,0.56,0.64,0.6,0.56,0.58,0.56,0.518519,0.5,0.615385,0.566038,0.518519,0.568627,0.491228,0.538861,0.52915,0.627572,0.582772,0.538861,0.574285,0.524488
ASE_00044,Ribonuclease P RNA,RNase P Database,C.hydrogenoformans.ct,Carboxydothermus hydrogenoformans,0.944444,0.833333,0.68,0.652174,0.801387,0.73721,0.944444,0.944444,0.944444,0.944444,0.944444,0.944444,0.944444,0.68,0.68,0.68,0.68,0.68,0.653846,0.68,0.801387,0.801387,0.801387,0.801387,0.801387,0.785825,0.801387
ASE_00048,Ribonuclease P RNA,RNase P Database,C.lusitaniae.ct,Clavispora lusitaniae,0.8,0.8,1,1,0.894427,0.894427,1,1,1,1,0.8,0.8,1,1,1,1,1,1,0.8,1,1,1,1,1,0.894427,0.8,1
ASE_00051,Ribonuclease P RNA,RNase P Database,C.opuntiae.ct,Clavispora opuntiae,1,1,0.777778,0.777778,0.881917,0.881917,1,1,1,1,1,1,1,0.777778,0.777778,0.777778,0.777778,0.777778,0.736842,0.777778,0.881917,0.881917,0.881917,0.881917,0.881917,0.858395,0.881917
ASE_00052,Ribonuclease P RNA,RNase P Database,C.paradoxa-cyanelle.ct,Cyanophora paradoxa,0.944444,0.833333,0.944444,0.9375,0.944444,0.883883,0.388889,0.944444,0.388889,0.388889,0.388889,0.555556,0.388889,0.388889,0.944444,0.333333,0.388889,0.368421,0.666667,0.388889,0.388889,0.944444,0.360041,0.388889,0.378517,0.608581,0.388889
ASE_00054,Ribonuclease P RNA,RNase P Database,C.pecorum-H3.ct,Chlamydia pecorum,1,1,1,1,1,1,1,1,0.9,1,1,1,1,1,1,0.9,1,0.909091,0.909091,1,1,1,0.9,1,0.953463,0.953463,1
ASE_00055,Ribonuclease P RNA,RNase P Database,C.pecorum-iB1.ct,Chlamydia pecorum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00058,Ribonuclease P RNA,RNase P Database,C.pneumoniae-CWL029.ct,Chlamydophila pneumoniae,0.6,0.68,0.666667,0.73913,0.632456,0.708949,0.78,0.78,0.7,0.78,0.6,0.72,0.6,0.764706,0.764706,0.729167,0.764706,0.625,0.631579,0.652174,0.772315,0.772315,0.714435,0.772315,0.612372,0.674342,0.625543
ASE_00061,Ribonuclease P RNA,RNase P Database,C.psittaci-6BC.ct,Chlamydophila psittaci,0.85,0.85,0.772727,0.772727,0.810443,0.810443,0.8,0.85,0.85,0.8,0.85,0.75,0.85,0.761905,0.772727,0.772727,0.761905,0.73913,0.681818,0.809524,0.78072,0.810443,0.810443,0.78072,0.792629,0.715097,0.829515
ASE_00062,Ribonuclease P RNA,RNase P Database,C.psittaci-R54.ct,Chlamydophila psittaci,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00065,Ribonuclease P RNA,RNase P Database,C.suis-S45.ct,Chlamydia suis,0.909091,0.909091,0.909091,1,0.909091,0.953463,1,0.909091,0.909091,1,0.909091,0,1,1,1,0.909091,1,1,0,1,1,0.953463,0.909091,1,0.953463,0,1
ASE_00065,Ribonuclease P RNA,RNase P Database,C.suis-S45.ct,Chlamydia suis,0.818182,0.818182,0.9,0.9,0.858116,0.858116,0.909091,0.909091,0.909091,0.909091,0.818182,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.9,0.909091,0.909091,0.909091,0.909091,0.909091,0.909091,0.858116,0.909091,0.909091
ASE_00066,Ribonuclease P RNA,RNase P Database,C.tepidum-g.ct,Chlorobium tepidum,0.663717,0.699115,0.657895,0.675214,0.6608,0.687061,0.619469,0.619469,0.663717,0.690265,0.619469,0.460177,0.672566,0.57377,0.57377,0.652174,0.655462,0.564516,0.412698,0.633333,0.596182,0.596182,0.65792,0.672638,0.591355,0.435791,0.652655
ASE_00073,Ribonuclease P RNA,RNase P Database,C.trachomatis.ct,Chlamydia trachomatis,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASE_00074,Ribonuclease P RNA,RNase P Database,C.vinosum.ct,Allochromatium vinosum,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.8,0.8,1,1,1,1,1,0.894427,0.894427
ASE_00074,Ribonuclease P RNA,RNase P Database,C.vinosum.ct,Allochromatium vinosum,0.5,1,0.434783,0.952381,0.466253,0.9759,0.5,1,1,1,1,1,0.5,0.434783,0.833333,0.909091,0.909091,0.833333,0.8,0.454545,0.466253,0.912871,0.953463,0.953463,0.912871,0.894427,0.476731
ASE_00075,Ribonuclease P RNA,RNase P Database,Calothrix-PCC7601.ct,Tolypothrix sp.,0.75,0.75,0.615385,0.648649,0.679366,0.697486,0.75,0.75,0.75,0.75,0.875,0.9375,0.75,0.571429,0.585366,0.6,0.571429,0.717949,0.75,0.571429,0.654654,0.662589,0.67082,0.654654,0.792594,0.838525,0.654654
ASE_00084,Ribonuclease P RNA,RNase P Database,CPA63.ct,Compost Pile A63,0.802469,0.703704,0.637255,0.587629,0.715107,0.643053,0.82716,0.864198,0.864198,0.82716,0.790123,0.555556,0.407407,0.644231,0.686275,0.686275,0.644231,0.627451,0.463918,0.347368,0.729988,0.770115,0.770115,0.729988,0.704105,0.507674,0.376192
ASE_00090,Ribonuclease P RNA,RNase P Database,CPB70.ct,Compost Heap B70,0.712644,0.689655,0.558559,0.560748,0.630915,0.62187,0.735632,0.735632,0.735632,0.735632,0.735632,0.586207,0.678161,0.566372,0.566372,0.581818,0.571429,0.561404,0.46789,0.526786,0.645478,0.645478,0.65422,0.648353,0.64264,0.523718,0.5977
ASE_00091,Ribonuclease P RNA,RNase P Database,CPB71.ct,Compost Pile B71,0.507937,0.428571,0.432432,0.364865,0.468666,0.395437,0.507937,0.507937,0.52381,0.68254,0.428571,0.603175,0.31746,0.405063,0.415584,0.44,0.558442,0.3375,0.475,0.25641,0.453593,0.459446,0.48008,0.617381,0.380319,0.535265,0.285307
ASE_00097,Ribonuclease P RNA,RNase P Database,CPB80.ct,Compost Pile B80,0.783784,0.756757,0.617021,0.622222,0.695422,0.6862,0.797297,0.797297,0.797297,0.797297,0.837838,0.702703,0.662162,0.621053,0.614583,0.621053,0.621053,0.652632,0.536082,0.538462,0.703679,0.700004,0.703679,0.703679,0.739459,0.613764,0.597117
ASE_00102,Ribonuclease P RNA,RNase P Database,D.radiodurans.ct,Deinococcus radiodurans,0.820513,0.820513,0.744186,0.761905,0.781418,0.790666,0.820513,0.820513,0.820513,0.820513,0.820513,0.948718,0.846154,0.744186,0.744186,0.744186,0.744186,0.744186,0.770833,0.75,0.781418,0.781418,0.781418,0.781418,0.781418,0.855163,0.796628
ASE_00105,Ribonuclease P RNA,RNase P Database,Dermocarpa-PCC7437.ct,Dermocarpa sp.,0.611111,0.511111,0.528846,0.455446,0.568492,0.482476,0.622222,0.622222,0.588889,0.633333,0.522222,0.5,0.5,0.54902,0.528302,0.481818,0.53271,0.451923,0.454545,0.401786,0.584476,0.573342,0.53267,0.580847,0.485803,0.476731,0.448211
ASE_00108,Ribonuclease P RNA,RNase P Database,E.asper.ct,Euproctus asper,0.5,0.428571,0.388889,0.333333,0.440959,0.377964,0.428571,0.571429,0,0,0.785714,0.714286,0.0714286,0.285714,0.363636,0,0,0.6875,0.434783,0.0625,0.349927,0.455842,0,0,0.734968,0.557279,0.0668153
ASE_00114,Ribonuclease P RNA,RNase P Database,E.rhusiopathiae.ct,Erysipelothrix rhusiopathiae,1,1,0.555556,0.555556,0.745356,0.745356,1,1,1,1,1,1,1,0.555556,0.555556,0.555556,0.555556,0.555556,0.625,0.555556,0.745356,0.745356,0.745356,0.745356,0.745356,0.790569,0.745356
ASE_00116,Ribonuclease P RNA,RNase P Database,E1B.ct,Enrichment 1B,0.56,0.26,0.474576,0.213115,0.515522,0.235393,0.38,0.38,0.32,0.28,0.52,0.06,0.3,0.287879,0.296875,0.253968,0.215385,0.371429,0.0441176,0.234375,0.330748,0.335876,0.285079,0.245576,0.43948,0.0514495,0.265165
ASE_00117,Ribonuclease P RNA,RNase P Database,EF.ct,drainage fluid,0.774648,0.140845,0.679012,0.111111,0.725255,0.125098,0.746479,0.647887,0.84507,0.704225,0.507042,0.507042,0.408451,0.576087,0.511111,0.697674,0.543478,0.375,0.395604,0.308511,0.655772,0.57545,0.767843,0.618652,0.436051,0.44787,0.354981
ASE_00124,Ribonuclease P RNA,RNase P Database,ESH17b-7.ct,volunteer ESH17b-7,0.704225,0.126761,0.60241,0.105882,0.651331,0.115852,0.690141,0.591549,0.84507,0.676056,0.535211,0.380282,0.380282,0.521277,0.461538,0.714286,0.521739,0.413043,0.3,0.293478,0.599795,0.522515,0.776931,0.593906,0.470176,0.337764,0.334072
ASE_00125,Ribonuclease P RNA,RNase P Database,ESH183D.ct,volunteer ESH183D,0.797101,0.753623,0.654762,0.65,0.722434,0.699896,0.855072,0.855072,0.826087,0.84058,0.84058,0.681159,0.855072,0.686047,0.670455,0.670588,0.659091,0.644444,0.489583,0.655556,0.765911,0.757157,0.744288,0.744324,0.736007,0.577481,0.748697
